app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-25,9,451.189,315.928,4060.701,2843.352
expt-app-15,7,587.014,466.313,4109.098,3264.191
expt-app-21,8,203.00099999999998,198.813,1624.0079999999998,1590.504
expt-app-19,2,1060.865,939.715,2121.73,1879.43
expt-app-42,3,1365.012,1215.597,4095.036,3646.791
expt-app-0,8,808.685,741.543,6469.48,5932.344
expt-app-53,7,462.053,395.202,3234.371,2766.4139999999998
expt-app-55,6,268.849,202.687,1613.094,1216.122
expt-app-49,5,108.624,56.501,543.12,282.505
expt-app-30,10,133.865,13.39,1338.65,133.9
expt-app-71,6,476.635,472.398,2859.81,2834.388
expt-app-13,6,1353.731,1197.746,8122.386,7186.476000000001
expt-app-6,3,1049.2220000000002,982.821,3147.6660000000006,2948.463
expt-app-86,6,672.913,667.684,4037.478,4006.104
expt-app-51,8,1380.055,1320.074,11040.44,10560.592
expt-app-74,9,724.928,657.751,6524.352,5919.759
expt-app-61,9,260.238,193.601,2342.142,1742.409
expt-app-57,9,296.314,243.92,2666.826,2195.2799999999997
expt-app-76,4,1027.764,892.521,4111.056,3570.084
expt-app-91,9,618.536,540.342,5566.824,4863.0779999999995
expt-app-75,4,910.9359999999999,905.323,3643.7439999999997,3621.292
expt-app-72,2,1936.033,1830.729,3872.066,3661.458
expt-app-54,7,376.535,309.503,2635.7450000000003,2166.5209999999997
expt-app-41,10,198.274,56.568,1982.74,565.68
expt-app-52,8,736.2220000000001,676.819,5889.776000000001,5414.552
expt-app-62,6,950.141,829.622,5700.846,4977.732
expt-app-96,6,157.37300000000002,22.023,944.238,132.138
expt-app-37,8,229.62199999999999,215.634,1836.9759999999999,1725.072
expt-app-43,10,378.736,222.56,3787.3599999999997,2225.6
expt-app-65,10,135.156,56.633,1351.56,566.33
expt-app-26,6,983.272,862.517,5899.6320000000005,5175.102000000001
expt-app-59,8,188.76999999999998,110.396,1510.1599999999999,883.168
expt-app-50,6,883.0980000000001,777.761,5298.588000000001,4666.566
expt-app-60,10,188.975,137.106,1889.75,1371.06
expt-app-18,7,591.986,525.403,4143.902,3677.821
expt-app-93,4,1037.542,895.972,4150.168,3583.888
expt-app-97,9,488.558,409.139,4397.022,3682.251
expt-app-29,1,1736.194,1730.544,1736.194,1730.544
expt-app-5,7,599.821,494.518,4198.747,3461.6259999999997
expt-app-22,10,75.613,22.77,756.13,227.7
expt-app-94,10,170.31199999999998,26.155,1703.12,261.55
expt-app-84,3,930.3169999999999,794.745,2790.9509999999996,2384.235
expt-app-83,5,701.016,580.415,3505.08,2902.075
expt-app-4,9,186.993,98.476,1682.937,886.284
expt-app-8,3,493.701,425.793,1481.103,1277.379
expt-app-79,10,109.02000000000001,36.141,1090.2,361.40999999999997
expt-app-92,8,688.419,613.289,5507.352,4906.312
expt-app-24,10,50.689,37.944,506.89,379.44000000000005
expt-app-33,10,206.40900000000002,127.956,2064.09,1279.56
expt-app-10,9,437.05100000000004,301.942,3933.4590000000003,2717.478
expt-app-90,5,309.214,197.44,1546.07,987.2
expt-app-81,7,643.693,517.636,4505.851,3623.4519999999998
expt-app-88,10,676.136,597.023,6761.36,5970.2300000000005
expt-app-56,10,83.978,32.499,839.78,324.99
expt-app-45,9,437.375,431.862,3936.375,3886.7580000000003
expt-app-66,5,1495.751,1360.26,7478.755,6801.3
expt-app-16,3,1912.2069999999999,1776.398,5736.620999999999,5329.1939999999995
expt-app-80,5,1603.243,1481.791,8016.215,7408.955
expt-app-32,8,1382.849,1295.524,11062.792,10364.192
expt-app-95,9,118.448,41.163,1066.032,370.467
expt-app-85,1,1446.562,1371.938,1446.562,1371.938
expt-app-35,2,1361.9479999999999,1283.47,2723.8959999999997,2566.94
expt-app-11,4,410.10600000000005,260.03,1640.4240000000002,1040.12
expt-app-67,10,363.421,219.432,3634.21,2194.3199999999997
expt-app-38,6,952.181,873.219,5713.086,5239.314
expt-app-99,6,778.1550000000001,667.488,4668.93,4004.9280000000003
expt-app-1,7,669.043,520.404,4683.301,3642.828
expt-app-31,8,743.024,613.563,5944.192,4908.504
expt-app-17,10,368.221,233.642,3682.21,2336.42
expt-app-68,3,746.861,742.954,2240.583,2228.862
expt-app-34,2,1373.645,1246.011,2747.29,2492.022
