app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-23,5,2244.8179999999998,2165.614,11224.089999999998,10828.07
expt-app-19,9,323.766,218.306,2913.8940000000002,1964.7540000000001
expt-app-0,6,1811.6699999999998,1806.276,10870.019999999999,10837.656
expt-app-81,1,1315.6589999999999,1184.211,1315.6589999999999,1184.211
expt-app-38,3,3106.629,2956.803,9319.886999999999,8870.409
expt-app-2,5,1043.304,907.631,5216.52,4538.155
expt-app-80,10,85.66799999999999,33.243,856.68,332.43
expt-app-50,7,568.024,501.018,3976.168,3507.1259999999997
expt-app-30,5,1395.316,1319.973,6976.58,6599.865
expt-app-17,6,230.719,157.202,1384.3139999999999,943.212
expt-app-91,4,1147.288,1012.62,4589.152,4050.48
expt-app-57,8,226.915,82.688,1815.32,661.504
expt-app-71,8,737.987,684.467,5903.896,5475.736
expt-app-52,10,166.964,34.644,1669.6399999999999,346.44
expt-app-89,9,378.41200000000003,248.886,3405.7080000000005,2239.974
expt-app-95,8,432.367,311.43,3458.936,2491.44
expt-app-24,4,1788.548,1638.798,7154.192,6555.192
expt-app-34,9,149.931,29.018,1349.3790000000001,261.16200000000003
expt-app-42,5,1420.132,1307.199,7100.66,6535.995000000001
expt-app-53,9,524.261,445.365,4718.349,4008.285
expt-app-15,10,136.159,14.937,1361.59,149.37
expt-app-7,8,762.144,626.543,6097.152,5012.344
expt-app-33,7,684.097,539.151,4788.679,3774.057
expt-app-49,9,443.707,364.873,3993.363,3283.857
expt-app-74,6,643.6039999999999,507.907,3861.624,3047.442
expt-app-12,8,169.317,49.234,1354.536,393.872
expt-app-10,6,681.492,602.616,4088.9519999999998,3615.696
expt-app-27,9,158.282,22.482,1424.538,202.338
expt-app-20,5,966.0609999999999,899.154,4830.304999999999,4495.77
expt-app-86,2,3357.0660000000003,3210.286,6714.1320000000005,6420.572
expt-app-31,4,980.345,975.824,3921.38,3903.296
expt-app-60,8,299.002,232.661,2392.016,1861.288
expt-app-6,7,404.176,283.435,2829.232,1984.045
expt-app-59,9,392.464,257.942,3532.176,2321.478
expt-app-88,6,665.603,544.447,3993.6179999999995,3266.682
expt-app-18,7,790.983,686.066,5536.880999999999,4802.462
expt-app-99,7,322.593,255.969,2258.1510000000003,1791.783
expt-app-44,9,267.60200000000003,166.258,2408.418,1496.3220000000001
expt-app-77,10,30.181,25.571,301.81,255.71
expt-app-40,8,542.986,463.859,4343.888,3710.872
expt-app-3,9,312.718,191.931,2814.462,1727.3790000000001
expt-app-22,9,310.68600000000004,243.866,2796.1740000000004,2194.7940000000003
expt-app-84,4,922.748,844.835,3690.992,3379.34
expt-app-54,6,2381.101,2313.995,14286.606,13883.97
expt-app-5,10,81.467,28.833,814.67,288.33
expt-app-76,4,56.521,42.659,226.084,170.636
expt-app-35,9,445.446,313.269,4009.014,2819.4210000000003
expt-app-75,8,108.189,29.168,865.512,233.344
expt-app-65,6,77.447,11.555,464.682,69.33
expt-app-55,6,483.12100000000004,431.054,2898.726,2586.3239999999996
expt-app-46,5,633.3180000000001,488.841,3166.5900000000006,2444.205
expt-app-93,7,472.781,460.359,3309.467,3222.513
expt-app-26,6,569.1279999999999,564.123,3414.7679999999996,3384.7380000000003
expt-app-21,5,1014.7550000000001,864.604,5073.775000000001,4323.02
expt-app-98,7,1161.75,1156.581,8132.25,8096.066999999999
expt-app-67,10,71.80499999999999,59.058,718.05,590.58
expt-app-72,9,545.567,466.724,4910.103,4200.516
expt-app-64,1,1915.8619999999999,1848.399,1915.8619999999999,1848.399
expt-app-87,8,1091.479,945.427,8731.832,7563.416
expt-app-92,5,908.664,830.582,4543.32,4152.91
expt-app-51,7,950.09,800.976,6650.63,5606.832
expt-app-1,2,1367.112,1245.602,2734.224,2491.204
expt-app-94,8,282.58,203.387,2260.64,1627.096
expt-app-78,9,376.598,240.932,3389.382,2168.388
expt-app-97,6,675.3789999999999,663.37,4052.2739999999994,3980.2200000000003
expt-app-47,7,477.42600000000004,319.252,3341.9820000000004,2234.764
