app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-99,7,268.052,124.198,1876.364,869.386
expt-app-5,10,117.821,41.655,1178.21,416.55
expt-app-77,10,126.308,41.891,1263.0800000000002,418.90999999999997
expt-app-15,10,131.649,4.111,1316.49,41.11
expt-app-76,4,106.27000000000001,20.013,425.08000000000004,80.052
expt-app-52,10,55.144999999999996,45.319,551.4499999999999,453.19000000000005
expt-app-65,6,72.004,14.822,432.024,88.93199999999999
expt-app-67,10,174.286,32.863,1742.8600000000001,328.63
expt-app-27,9,164.526,53.571,1480.7340000000002,482.139
expt-app-57,8,184.809,43.5,1478.472,348.0
expt-app-17,6,329.628,217.278,1977.768,1303.668
expt-app-75,8,140.539,13.181,1124.312,105.448
expt-app-34,9,88.223,29.66,794.007,266.94
expt-app-12,8,176.395,48.904,1411.16,391.232
expt-app-89,9,320.78000000000003,212.614,2887.0200000000004,1913.526
expt-app-49,9,338.899,227.942,3050.091,2051.478
expt-app-19,9,193.857,134.026,1744.713,1206.2340000000002
expt-app-80,10,25.343999999999998,15.57,253.43999999999997,155.7
