app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,7,239.009,103.814,1673.0629999999999,726.698
expt-app-97,6,490.241,411.759,2941.446,2470.554
expt-app-24,4,961.795,895.283,3847.18,3581.132
expt-app-71,8,412.729,360.619,3301.832,2884.952
expt-app-94,8,186.75300000000001,81.892,1494.0240000000001,655.136
expt-app-9,5,998.29,893.166,4991.45,4465.83
expt-app-88,6,372.96299999999997,306.549,2237.778,1839.2939999999999
expt-app-19,9,266.42,139.888,2397.78,1258.992
expt-app-20,5,777.598,704.434,3887.99,3522.17
expt-app-95,8,260.85,156.726,2086.8,1253.808
expt-app-75,8,22.950000000000003,18.474,183.60000000000002,147.792
expt-app-55,6,388.05400000000003,313.266,2328.324,1879.596
expt-app-0,6,885.5260000000001,809.813,5313.156000000001,4858.878
expt-app-2,5,511.81600000000003,445.499,2559.08,2227.495
expt-app-30,5,881.304,815.145,4406.5199999999995,4075.725
expt-app-57,8,179.309,44.49,1434.472,355.92
expt-app-18,7,844.117,777.629,5908.8189999999995,5443.403
expt-app-93,7,299.048,194.469,2093.3360000000002,1361.283
expt-app-34,9,39.83,35.319,358.46999999999997,317.87100000000004
expt-app-10,6,617.7909999999999,539.133,3706.7459999999996,3234.7980000000002
expt-app-65,6,151.077,15.709,906.462,94.25399999999999
expt-app-39,2,1352.982,1240.765,2705.964,2481.53
expt-app-99,7,292.072,156.767,2044.504,1097.369
expt-app-72,9,249.06,244.527,2241.54,2200.743
expt-app-15,10,81.893,15.071,818.9300000000001,150.71
expt-app-74,6,665.741,592.158,3994.446,3552.9480000000003
expt-app-83,3,1925.5549999999998,1788.989,5776.664999999999,5366.967000000001
expt-app-49,9,312.103,245.154,2808.927,2206.386
expt-app-21,5,614.192,534.683,3070.96,2673.415
expt-app-7,8,407.682,356.458,3261.456,2851.664
expt-app-3,9,155.231,76.682,1397.079,690.138
expt-app-27,9,171.379,40.917,1542.4109999999998,368.25300000000004
expt-app-1,2,821.5930000000001,813.243,1643.1860000000001,1626.486
expt-app-29,4,1577.254,1456.062,6309.016,5824.248
expt-app-86,2,1593.892,1590.019,3187.784,3180.038
expt-app-23,5,1102.816,1031.148,5514.08,5155.74
expt-app-8,5,1246.124,1118.034,6230.62,5590.17
expt-app-50,7,467.264,400.908,3270.848,2806.356
expt-app-12,8,146.458,42.201,1171.664,337.608
expt-app-78,9,219.79299999999998,135.266,1978.1369999999997,1217.394
expt-app-11,1,1221.657,1101.738,1221.657,1101.738
expt-app-47,7,296.15000000000003,168.189,2073.05,1177.3229999999999
expt-app-77,10,139.887,35.808,1398.87,358.08
expt-app-56,5,1063.18,932.254,5315.900000000001,4661.27
expt-app-33,7,438.861,360.012,3072.027,2520.084
expt-app-40,8,349.536,297.715,2796.288,2381.72
expt-app-87,8,474.842,415.729,3798.736,3325.832
expt-app-5,10,133.564,46.04,1335.6399999999999,460.4
expt-app-51,7,526.748,406.361,3687.2360000000003,2844.527
expt-app-53,9,227.44,223.326,2046.96,2009.934
expt-app-32,5,822.604,711.672,4113.02,3558.36
expt-app-80,10,122.428,43.455,1224.28,434.54999999999995
expt-app-76,4,166.99800000000002,40.155,667.9920000000001,160.62
expt-app-89,9,222.381,117.868,2001.429,1060.812
expt-app-35,9,177.721,172.741,1599.489,1554.669
expt-app-46,5,252.23000000000002,248.524,1261.15,1242.62
expt-app-42,5,860.182,793.322,4300.91,3966.61
expt-app-17,6,337.11999999999995,216.808,2022.7199999999998,1300.848
expt-app-37,5,1375.285,1254.573,6876.425,6272.865000000001
expt-app-59,9,152.76600000000002,149.312,1374.8940000000002,1343.808
expt-app-48,3,1572.534,1451.622,4717.602000000001,4354.866
expt-app-98,7,660.341,587.928,4622.387,4115.496
expt-app-52,10,54.135999999999996,42.686,541.3599999999999,426.86
expt-app-54,6,1480.836,1393.447,8885.016,8360.681999999999
expt-app-22,9,274.07300000000004,270.038,2466.657,2430.342
expt-app-38,3,1591.181,1586.45,4773.543,4759.35
expt-app-67,10,66.04,55.857,660.4000000000001,558.5699999999999
expt-app-44,9,154.225,102.068,1388.0249999999999,918.612
expt-app-60,8,240.635,136.637,1925.08,1093.096
