app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-75,8,115.53399999999999,10.916,924.2719999999999,87.328
expt-app-92,5,346.928,294.753,1734.6399999999999,1473.7649999999999
expt-app-26,6,297.628,245.189,1785.768,1471.134
expt-app-34,9,73.76599999999999,21.377,663.8939999999999,192.393
expt-app-25,1,2392.3399999999997,2281.848,2392.3399999999997,2281.848
expt-app-91,4,681.483,603.048,2725.932,2412.192
expt-app-15,10,154.49099999999999,11.349,1544.9099999999999,113.49000000000001
expt-app-68,2,1887.299,1751.934,3774.598,3503.868
expt-app-1,2,1005.7529999999999,933.207,2011.5059999999999,1866.414
expt-app-77,10,109.75999999999999,21.423,1097.6,214.23
expt-app-12,8,127.64800000000001,52.288,1021.1840000000001,418.304
expt-app-36,3,1633.1039999999998,1496.815,4899.312,4490.445
expt-app-17,6,206.64,127.703,1239.84,766.2180000000001
expt-app-81,1,729.077,608.484,729.077,608.484
expt-app-82,1,3262.0879999999997,3156.574,3262.0879999999997,3156.574
expt-app-10,6,619.457,540.949,3716.742,3245.6939999999995
expt-app-46,5,535.5699999999999,468.055,2677.8499999999995,2340.275
expt-app-99,7,95.312,83.894,667.184,587.258
expt-app-51,7,176.573,171.913,1236.011,1203.391
expt-app-5,10,141.328,20.523,1413.28,205.23
expt-app-69,1,2095.5789999999997,1990.682,2095.5789999999997,1990.682
expt-app-76,4,121.73,16.979,486.92,67.916
expt-app-63,1,2072.741,1961.962,2072.741,1961.962
expt-app-47,7,83.94699999999999,79.465,587.6289999999999,556.255
expt-app-89,9,132.116,53.456,1189.044,481.10400000000004
expt-app-59,9,217.85299999999998,97.236,1960.677,875.124
expt-app-45,2,1803.723,1698.364,3607.446,3396.728
expt-app-65,6,120.077,9.284,720.462,55.70400000000001
expt-app-22,9,312.562,226.417,2813.058,2037.753
expt-app-21,5,873.285,738.165,4366.425,3690.825
expt-app-72,9,318.28000000000003,239.4,2864.5200000000004,2154.6
expt-app-55,6,172.402,167.689,1034.4119999999998,1006.134
expt-app-84,4,623.1999999999999,501.526,2492.7999999999997,2006.104
expt-app-3,9,198.58,77.715,1787.22,699.4350000000001
expt-app-31,4,710.5939999999999,582.499,2842.3759999999997,2329.996
expt-app-52,10,170.363,41.225,1703.63,412.25
expt-app-49,9,131.569,127.084,1184.1209999999999,1143.756
expt-app-35,9,269.435,190.41,2424.915,1713.69
expt-app-70,2,1893.268,1826.747,3786.536,3653.494
expt-app-94,8,148.229,80.878,1185.832,647.024
expt-app-74,6,594.0260000000001,514.893,3564.1560000000004,3089.358
expt-app-78,9,197.585,76.835,1778.265,691.515
expt-app-61,2,1989.347,1848.577,3978.694,3697.154
expt-app-60,8,200.726,126.831,1605.808,1014.648
expt-app-44,9,280.449,159.616,2524.041,1436.544
expt-app-53,9,291.627,213.422,2624.643,1920.798
expt-app-14,1,3058.067,2952.455,3058.067,2952.455
expt-app-64,1,1324.467,1264.276,1324.467,1264.276
expt-app-19,9,80.373,68.566,723.3570000000001,617.094
expt-app-96,2,1836.405,1823.289,3672.81,3646.578
expt-app-97,6,721.4730000000001,586.527,4328.838000000001,3519.1620000000003
expt-app-33,7,710.269,631.902,4971.883,4423.314
expt-app-93,7,211.302,144.38,1479.114,1010.66
expt-app-57,8,48.535000000000004,43.694,388.28000000000003,349.552
expt-app-67,10,94.292,27.487,942.9200000000001,274.87
expt-app-6,7,82.262,77.275,575.8340000000001,540.9250000000001
expt-app-85,3,1834.165,1692.798,5502.495,5078.394
expt-app-88,6,173.16799999999998,168.044,1039.0079999999998,1008.2640000000001
expt-app-27,9,24.802999999999997,20.941,223.22699999999998,188.469
expt-app-95,8,203.67,129.029,1629.36,1032.232
expt-app-13,1,2006.51,1901.535,2006.51,1901.535
expt-app-80,10,81.688,14.853,816.88,148.53
