app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,9,857.395,751.958,7716.555,6767.621999999999
expt-app-37,5,1096.038,1009.303,5480.1900000000005,5046.515
expt-app-95,10,500.93699999999995,379.768,5009.37,3797.68
expt-app-47,8,1000.868,933.327,8006.944,7466.616
expt-app-17,10,131.047,60.323,1310.47,603.23
expt-app-91,5,1418.339,1261.49,7091.695,6307.45
expt-app-43,3,1791.6209999999999,1704.988,5374.862999999999,5114.964
expt-app-19,5,2511.841,2362.439,12559.205,11812.195
expt-app-85,10,361.916,240.897,3619.16,2408.97
expt-app-59,8,938.965,804.655,7511.72,6437.24
expt-app-96,9,633.035,628.354,5697.315,5655.186000000001
expt-app-12,6,1182.731,1177.052,7096.386,7062.312
expt-app-65,6,539.346,418.472,3236.076,2510.832
expt-app-81,10,93.501,27.25,935.01,272.5
expt-app-93,6,980.653,906.004,5883.918,5436.024
expt-app-79,7,827.926,749.247,5795.482,5244.728999999999
expt-app-68,7,1323.617,1194.247,9265.319,8359.729000000001
expt-app-94,5,703.12,698.544,3515.6,3492.72
expt-app-45,8,797.587,675.98,6380.696,5407.84
expt-app-66,8,1714.987,1579.264,13719.896,12634.112
expt-app-22,9,327.65,214.227,2948.85,1928.0430000000001
expt-app-31,6,1766.646,1617.493,10599.876,9704.957999999999
expt-app-98,5,2760.86,2706.435,13804.300000000001,13532.175
expt-app-69,6,1306.061,1227.043,7836.366,7362.258
expt-app-99,8,504.09099999999995,361.542,4032.7279999999996,2892.336
expt-app-53,2,1943.028,1875.053,3886.056,3750.106
expt-app-97,7,661.062,607.235,4627.434,4250.645
expt-app-74,5,1188.3049999999998,1182.974,5941.525,5914.87
expt-app-5,6,1330.036,1255.113,7980.216,7530.678
expt-app-24,5,1128.3110000000001,1040.975,5641.555,5204.875
expt-app-1,4,1479.7340000000002,1399.934,5918.936000000001,5599.736
expt-app-49,5,1813.314,1663.682,9066.57,8318.41
expt-app-35,9,173.149,98.315,1558.341,884.835
expt-app-86,7,1060.934,939.97,7426.538,6579.79
expt-app-26,10,97.756,18.305,977.56,183.05
expt-app-62,5,1219.196,1205.969,6095.98,6029.845
expt-app-40,4,2501.3920000000003,2422.511,10005.568000000001,9690.044
expt-app-38,9,148.99,144.527,1340.91,1300.743
expt-app-30,9,334.947,282.569,3014.523,2543.121
expt-app-33,10,379.411,229.165,3794.11,2291.65
expt-app-80,7,307.467,255.228,2152.269,1786.596
expt-app-36,8,385.843,280.55,3086.744,2244.4
expt-app-71,9,170.44899999999998,103.889,1534.041,935.001
expt-app-6,10,473.904,352.511,4739.04,3525.11
expt-app-56,9,432.88300000000004,311.885,3895.947,2806.965
expt-app-11,8,681.9680000000001,668.646,5455.744000000001,5349.168
expt-app-50,10,541.735,462.366,5417.35,4623.66
expt-app-16,2,951.558,871.72,1903.116,1743.44
expt-app-63,10,95.33800000000001,8.155,953.3800000000001,81.55
expt-app-14,8,879.047,742.022,7032.376,5936.176
expt-app-34,8,1029.106,891.934,8232.848,7135.472
expt-app-57,6,1695.267,1559.771,10171.602,9358.626
expt-app-67,2,16.644,11.628,33.288,23.256
expt-app-15,7,1149.751,1070.536,8048.257,7493.752
expt-app-90,6,1406.906,1339.702,8441.436,8038.2119999999995
expt-app-48,2,2702.712,2566.593,5405.424,5133.186
expt-app-64,1,3093.811,2938.848,3093.811,2938.848
expt-app-18,9,287.83,201.388,2590.47,1812.492
expt-app-73,10,93.533,27.178,935.33,271.78000000000003
expt-app-25,4,2523.246,2387.301,10092.984,9549.204
expt-app-88,9,214.74599999999998,147.925,1932.714,1331.325
expt-app-4,6,705.924,570.327,4235.544,3421.962
expt-app-54,6,1290.948,1163.876,7745.688,6983.255999999999
expt-app-75,4,2511.378,2505.648,10045.512,10022.592
expt-app-9,7,770.1550000000001,691.668,5391.085000000001,4841.676
expt-app-39,3,3217.8619999999996,3097.125,9653.586,9291.375
expt-app-78,4,2590.057,2584.234,10360.228,10336.936
expt-app-92,1,3079.8070000000002,3011.984,3079.8070000000002,3011.984
expt-app-2,4,1134.725,997.579,4538.9,3990.316
expt-app-8,8,860.736,702.892,6885.888,5623.136
expt-app-20,6,1450.868,1363.788,8705.207999999999,8182.728
expt-app-89,3,2643.449,2637.456,7930.347,7912.368
expt-app-77,8,312.18800000000005,206.895,2497.5040000000004,1655.16
expt-app-21,3,1588.6229999999998,1522.01,4765.869,4566.03
expt-app-70,6,1047.317,956.381,6283.902,5738.286
expt-app-3,10,193.00400000000002,57.363,1930.0400000000002,573.63
expt-app-41,10,151.889,17.089,1518.89,170.89
