app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-10,2,6720.218,6631.123,13440.436,13262.246
expt-app-42,2,3894.7980000000002,3759.249,7789.5960000000005,7518.498
expt-app-3,9,390.245,303.746,3512.205,2733.714
expt-app-49,9,358.967,224.003,3230.703,2016.0269999999998
expt-app-15,6,220.767,85.338,1324.6019999999999,512.028
expt-app-87,8,1082.327,1029.104,8658.616,8232.832
expt-app-80,6,871.042,818.538,5226.252,4911.228
expt-app-64,10,177.043,49.915,1770.43,499.15
expt-app-27,2,2216.2999999999997,2095.066,4432.599999999999,4190.132
expt-app-73,5,153.06300000000002,18.09,765.315,90.45
expt-app-54,3,1986.8539999999998,1920.291,5960.562,5760.873
expt-app-62,8,1618.356,1477.069,12946.848,11816.552
expt-app-92,7,1700.365,1579.483,11902.555,11056.381
expt-app-8,9,929.47,876.412,8365.23,7887.7080000000005
expt-app-93,2,1470.6870000000001,1392.135,2941.3740000000003,2784.27
expt-app-89,8,172.16500000000002,93.196,1377.3200000000002,745.568
expt-app-11,6,1286.627,1219.146,7719.762,7314.876
expt-app-45,1,7946.789,7867.793,7946.789,7867.793
expt-app-96,8,894.524,745.959,7156.192,5967.672
expt-app-58,5,988.629,839.309,4943.145,4196.545
expt-app-34,5,1793.544,1651.487,8967.720000000001,8257.435000000001
expt-app-24,5,2072.031,1951.439,10360.154999999999,9757.195
expt-app-72,1,4516.276000000001,4380.486,4516.276000000001,4380.486
expt-app-56,7,1020.48,915.494,7143.360000000001,6408.4580000000005
expt-app-59,5,342.115,257.952,1710.575,1289.76
expt-app-5,4,1332.313,1176.296,5329.252,4705.184
expt-app-23,6,1971.41,1965.985,11828.460000000001,11795.91
expt-app-16,9,1163.772,1051.17,10473.948,9460.53
expt-app-82,10,59.826,49.348,598.26,493.48
expt-app-65,3,3014.703,2948.276,9044.109,8844.828
expt-app-55,7,761.6800000000001,613.154,5331.76,4292.0779999999995
expt-app-36,5,1089.96,969.419,5449.8,4847.095
expt-app-91,2,5806.446,5664.343,11612.892,11328.686
expt-app-88,9,20.747999999999998,15.957,186.73199999999997,143.613
expt-app-33,3,1438.27,1358.718,4314.8099999999995,4076.1540000000005
expt-app-44,6,1155.365,1088.0,6932.1900000000005,6528.0
expt-app-6,5,1088.3799999999999,1035.527,5441.9,5177.635
expt-app-81,10,160.727,156.291,1607.27,1562.9099999999999
expt-app-95,2,8385.855,8264.21,16771.71,16528.42
expt-app-68,4,624.126,488.318,2496.504,1953.272
expt-app-9,10,104.762,37.766,1047.62,377.65999999999997
expt-app-94,7,498.467,488.65,3489.269,3420.5499999999997
expt-app-4,8,787.107,682.323,6296.856,5458.584
expt-app-40,7,1448.594,1313.946,10140.158,9197.622
expt-app-20,8,525.828,390.803,4206.624,3126.424
expt-app-41,4,268.853,263.933,1075.412,1055.732
expt-app-78,4,306.378,301.95,1225.512,1207.8
expt-app-86,9,437.30400000000003,349.593,3935.7360000000003,3146.337
expt-app-48,4,3129.7709999999997,3062.776,12519.083999999999,12251.104
expt-app-67,1,3451.4179999999997,3445.805,3451.4179999999997,3445.805
expt-app-26,6,2418.7940000000003,2282.837,14512.764000000003,13697.022
expt-app-63,10,411.925,255.911,4119.25,2559.11
expt-app-71,8,1460.555,1455.409,11684.44,11643.272
expt-app-19,2,1794.2849999999999,1688.808,3588.5699999999997,3377.616
expt-app-30,1,5711.501,5576.134,5711.501,5576.134
expt-app-76,9,942.6379999999999,816.729,8483.741999999998,7350.561000000001
expt-app-17,8,832.275,809.642,6658.2,6477.136
expt-app-47,9,647.369,534.426,5826.321,4809.834000000001
expt-app-25,3,1940.443,1804.774,5821.329,5414.322
expt-app-1,8,350.537,283.198,2804.296,2265.584
expt-app-43,9,127.283,60.516,1145.547,544.644
expt-app-60,2,3220.671,3091.038,6441.342,6182.076
expt-app-85,9,159.859,24.62,1438.731,221.58
expt-app-53,8,409.671,356.576,3277.368,2852.608
expt-app-77,8,1191.512,1179.102,9532.096,9432.816
expt-app-18,10,111.44,32.353,1114.4,323.53000000000003
expt-app-75,5,576.721,456.535,2883.605,2282.675
expt-app-61,7,2576.4170000000004,2464.418,18034.919,17250.926
expt-app-22,7,753.33,615.057,5273.31,4305.399
expt-app-50,9,90.896,24.407,818.064,219.663
expt-app-83,1,1226.0819999999999,1151.981,1226.0819999999999,1151.981
expt-app-79,10,902.1949999999999,797.457,9021.949999999999,7974.57
expt-app-70,7,1900.764,1821.667,13305.348,12751.669
expt-app-13,2,5787.343,5666.765,11574.686,11333.53
expt-app-46,7,1418.801,1269.118,9931.607,8883.826
expt-app-66,7,1498.23,1390.44,10487.61,9733.08
expt-app-69,4,2161.06,2147.702,8644.24,8590.808
expt-app-31,9,290.193,238.224,2611.737,2144.016
expt-app-12,2,4222.251,4101.171,8444.502,8202.342
expt-app-57,2,6132.683,5997.249,12265.366,11994.498
expt-app-32,3,2916.81,2780.869,8750.43,8342.607
expt-app-90,5,1176.671,1027.683,5883.3550000000005,5138.415
