app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-41,4,242.66,130.787,970.64,523.148
expt-app-63,10,186.616,101.877,1866.16,1018.77
expt-app-15,6,359.539,201.093,2157.234,1206.558
expt-app-50,9,174.763,18.724,1572.867,168.516
expt-app-82,10,144.52100000000002,15.388,1445.21,153.88
expt-app-64,10,142.01,14.066,1420.1,140.66
expt-app-9,10,79.241,4.155,792.41,41.550000000000004
expt-app-18,10,80.202,18.879,802.02,188.79000000000002
expt-app-43,9,165.282,21.187,1487.538,190.68300000000002
expt-app-73,5,68.564,7.799,342.81999999999994,38.995000000000005
expt-app-88,9,92.085,5.909,828.765,53.181
expt-app-85,9,91.184,5.313,820.656,47.817
