app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,5,609.059,503.875,3045.295,2519.375
expt-app-88,9,151.929,16.827,1367.361,151.443
expt-app-17,8,736.217,668.807,5889.736,5350.456
expt-app-63,10,218.971,152.294,2189.71,1522.94
expt-app-8,9,385.255,331.852,3467.295,2986.6679999999997
expt-app-82,10,124.283,45.41,1242.83,454.09999999999997
expt-app-49,9,102.65100000000001,90.773,923.8590000000002,816.957
expt-app-65,3,1264.877,1173.426,3794.631,3520.278
expt-app-41,4,316.684,147.268,1266.736,589.072
expt-app-78,4,344.127,277.754,1376.508,1111.016
expt-app-11,6,594.615,537.38,3567.69,3224.2799999999997
expt-app-32,3,1956.325,1865.547,5868.975,5596.641
expt-app-56,7,855.4159999999999,788.35,5987.911999999999,5518.45
expt-app-19,2,757.758,690.91,1515.516,1381.82
expt-app-18,10,102.003,35.76,1020.03,357.59999999999997
expt-app-94,7,308.361,229.291,2158.527,1605.037
expt-app-26,6,1494.745,1349.627,8968.47,8097.762
expt-app-54,3,1612.711,1496.96,4838.133,4490.88
expt-app-31,9,384.786,250.323,3463.074,2252.907
expt-app-1,8,294.207,215.128,2353.656,1721.024
expt-app-67,1,2307.959,2302.699,2307.959,2302.699
expt-app-80,6,408.98,330.524,2453.88,1983.144
expt-app-15,6,236.67,101.456,1420.02,608.736
expt-app-23,6,786.528,665.566,4719.168,3993.396
expt-app-68,4,427.543,293.003,1710.172,1172.012
expt-app-92,7,908.75,855.128,6361.25,5985.896000000001
expt-app-38,2,2092.4339999999997,2025.786,4184.8679999999995,4051.572
expt-app-44,6,659.196,570.27,3955.1760000000004,3421.62
expt-app-64,10,109.69,31.242,1096.9,312.42
expt-app-43,9,70.284,65.805,632.556,592.2450000000001
expt-app-34,5,1223.751,1081.622,6118.755,5408.110000000001
expt-app-47,9,255.94499999999996,130.541,2303.5049999999997,1174.869
expt-app-77,8,941.176,807.02,7529.408,6456.16
expt-app-51,1,2106.447,2039.71,2106.447,2039.71
expt-app-85,9,157.37599999999998,22.415,1416.3839999999998,201.73499999999999
expt-app-83,1,758.287,691.697,758.287,691.697
expt-app-3,9,221.278,142.39,1991.502,1281.5099999999998
expt-app-76,9,465.49600000000004,354.283,4189.464,3188.547
expt-app-73,5,155.026,11.537,775.1300000000001,57.685
expt-app-79,10,342.364,279.067,3423.64,2790.67
expt-app-4,8,295.653,229.081,2365.224,1832.648
expt-app-55,7,595.818,478.368,4170.726,3348.576
expt-app-87,8,476.049,420.584,3808.392,3364.672
expt-app-86,9,160.826,82.759,1447.434,744.831
expt-app-69,4,1137.963,1017.37,4551.852,4069.48
expt-app-20,8,474.971,339.578,3799.768,2716.624
expt-app-52,3,1929.01,1850.021,5787.03,5550.063
expt-app-81,10,165.46800000000002,87.48,1654.6800000000003,874.8000000000001
expt-app-39,1,2350.857,2283.866,2350.857,2283.866
expt-app-66,7,1402.9499999999998,1267.542,9820.649999999998,8872.794
expt-app-46,7,800.4010000000001,733.167,5602.807000000001,5132.169
expt-app-61,7,1265.566,1180.354,8858.962,8262.478000000001
expt-app-33,3,931.399,926.41,2794.197,2779.23
expt-app-40,7,956.384,889.896,6694.688,6229.272
expt-app-70,7,1319.2489999999998,1183.793,9234.742999999999,8286.551
expt-app-59,5,330.141,251.318,1650.7050000000002,1256.5900000000001
expt-app-9,10,168.667,38.866,1686.67,388.65999999999997
expt-app-53,8,328.969,224.18,2631.752,1793.44
expt-app-25,3,947.509,881.156,2842.527,2643.468
expt-app-58,5,464.236,397.067,2321.18,1985.335
expt-app-7,7,493.358,481.404,3453.506,3369.828
expt-app-90,5,697.5310000000001,630.985,3487.655,3154.925
expt-app-93,2,991.7629999999999,986.896,1983.5259999999998,1973.792
expt-app-36,5,664.706,559.878,3323.53,2799.3900000000003
expt-app-62,8,786.993,665.947,6295.944,5327.576
expt-app-89,8,71.504,66.523,572.032,532.184
expt-app-96,8,337.60499999999996,270.961,2700.8399999999997,2167.688
expt-app-24,5,978.149,845.065,4890.745,4225.325000000001
expt-app-75,5,330.221,195.452,1651.105,977.26
expt-app-42,2,2560.7380000000003,2550.735,5121.476000000001,5101.47
expt-app-5,4,962.073,956.52,3848.292,3826.08
expt-app-27,2,1160.0839999999998,1038.419,2320.1679999999997,2076.838
expt-app-71,8,844.056,731.54,6752.448,5852.32
expt-app-16,9,586.492,519.949,5278.428,4679.540999999999
expt-app-50,9,20.857,16.168,187.713,145.512
expt-app-22,7,422.68899999999996,299.577,2958.823,2097.0389999999998
