app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-33,3,819.016,732.901,2457.048,2198.703
expt-app-66,7,788.099,683.919,5516.693,4787.433
expt-app-49,9,254.23499999999999,110.467,2288.115,994.203
expt-app-96,8,499.702,364.372,3997.616,2914.976
expt-app-88,9,107.484,2.96,967.356,26.64
expt-app-63,10,126.684,60.233,1266.84,602.3299999999999
expt-app-80,6,364.936,298.692,2189.616,1792.152
expt-app-83,1,746.016,667.641,746.016,667.641
expt-app-94,7,257.024,205.541,1799.1680000000001,1438.787
expt-app-69,4,1015.619,936.829,4062.476,3747.316
expt-app-56,7,601.033,466.568,4207.231,3265.9759999999997
expt-app-87,8,380.281,376.7,3042.248,3013.6
expt-app-24,5,804.472,726.772,4022.3599999999997,3633.86
expt-app-19,2,1044.7459999999999,909.451,2089.4919999999997,1818.902
expt-app-86,9,99.41600000000001,95.478,894.7440000000001,859.3019999999999
expt-app-85,9,125.90299999999999,5.184,1133.127,46.656
expt-app-73,5,79.71300000000001,13.331,398.56500000000005,66.655
expt-app-1,8,142.863,131.788,1142.904,1054.304
expt-app-15,6,179.451,59.27,1076.706,355.62
expt-app-64,10,34.353,30.142,343.53000000000003,301.42
expt-app-44,6,661.704,526.515,3970.2239999999997,3159.09
expt-app-25,3,955.9060000000001,903.112,2867.7180000000003,2709.336
expt-app-61,7,1041.7540000000001,967.667,7292.278000000001,6773.669
expt-app-77,8,665.735,661.613,5325.88,5292.904
expt-app-28,5,1574.4769999999999,1522.173,7872.384999999999,7610.865
expt-app-58,5,428.905,350.501,2144.5249999999996,1752.5049999999999
expt-app-42,2,2137.804,1987.938,4275.608,3975.876
expt-app-20,8,317.869,206.323,2542.952,1650.584
expt-app-32,3,1519.269,1440.46,4557.807,4321.38
expt-app-59,5,233.746,113.301,1168.73,566.505
expt-app-4,8,290.551,203.628,2324.408,1629.024
expt-app-67,1,1707.463,1628.566,1707.463,1628.566
expt-app-48,4,1201.52,1096.363,4806.08,4385.452
expt-app-47,9,243.71200000000002,191.652,2193.4080000000004,1724.868
expt-app-92,7,655.0500000000001,603.186,4585.35,4222.302000000001
expt-app-43,9,107.644,20.717,968.796,186.45299999999997
expt-app-22,7,460.482,386.258,3223.3740000000003,2703.806
expt-app-50,9,152.45,17.308,1372.05,155.772
expt-app-46,7,759.3720000000001,624.585,5315.604,4372.095
expt-app-17,8,636.197,493.201,5089.576,3945.608
expt-app-98,4,1852.181,1730.755,7408.724,6923.02
expt-app-55,7,471.656,396.624,3301.592,2776.3680000000004
expt-app-89,8,204.38,70.027,1635.04,560.216
expt-app-23,6,580.722,575.81,3484.332,3454.8599999999997
expt-app-84,2,1901.888,1775.18,3803.776,3550.36
expt-app-54,3,993.285,872.677,2979.855,2618.031
expt-app-79,10,232.87099999999998,165.171,2328.71,1651.71
expt-app-36,5,702.569,574.736,3512.845,2873.68
expt-app-37,4,1423.981,1345.002,5695.924,5380.008
expt-app-81,10,103.492,37.181,1034.92,371.80999999999995
expt-app-16,9,429.362,425.266,3864.2580000000003,3827.3940000000002
expt-app-68,4,312.768,234.506,1251.072,938.024
expt-app-11,6,999.516,864.299,5997.096,5185.794
expt-app-5,4,618.414,545.616,2473.656,2182.464
expt-app-76,9,275.941,271.338,2483.4689999999996,2442.0420000000004
expt-app-31,9,260.229,155.342,2342.0609999999997,1398.0780000000002
expt-app-93,2,760.39,681.553,1520.78,1363.106
expt-app-8,9,357.68899999999996,305.239,3219.2009999999996,2747.151
expt-app-71,8,481.244,477.531,3849.952,3820.248
expt-app-26,6,1142.873,1038.136,6857.238,6228.816
expt-app-21,5,1923.488,1802.543,9617.44,9012.715
expt-app-18,10,81.85000000000001,16.092,818.5000000000001,160.92
expt-app-62,8,641.242,637.432,5129.936,5099.456
expt-app-40,7,453.918,450.103,3177.426,3150.721
expt-app-53,8,381.73600000000005,307.627,3053.8880000000004,2461.016
expt-app-65,3,1252.165,1185.553,3756.495,3556.6590000000006
expt-app-6,5,687.203,566.095,3436.015,2830.4750000000004
expt-app-82,10,24.558,20.075,245.57999999999998,200.75
expt-app-3,9,375.05699999999996,300.81,3375.5129999999995,2707.29
expt-app-2,3,1880.826,1801.499,5642.478,5404.497
expt-app-70,7,702.715,591.333,4919.005,4139.331
expt-app-9,10,158.29299999999998,15.841,1582.9299999999998,158.41
expt-app-78,4,415.324,280.452,1661.296,1121.808
expt-app-34,5,969.843,865.231,4849.215,4326.155
expt-app-41,4,174.7,108.567,698.8,434.268
expt-app-90,5,635.261,500.317,3176.305,2501.585
expt-app-75,5,267.69599999999997,195.952,1338.4799999999998,979.76
