app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-4,8,347.422,267.71,2779.376,2141.68
expt-app-98,4,1771.744,1651.616,7086.976,6606.464
expt-app-25,3,899.49,847.847,2698.4700000000003,2543.541
expt-app-49,9,245.191,111.271,2206.719,1001.439
expt-app-75,5,249.143,182.447,1245.715,912.235
expt-app-37,4,1567.2939999999999,1482.465,6269.1759999999995,5929.86
expt-app-63,10,141.208,66.168,1412.08,661.6800000000001
expt-app-5,4,581.213,514.913,2324.852,2059.652
expt-app-68,4,275.218,196.382,1100.872,785.528
expt-app-83,1,767.061,680.086,767.061,680.086
expt-app-56,7,578.283,443.337,4047.981,3103.359
expt-app-8,9,313.06800000000004,260.629,2817.6120000000005,2345.661
expt-app-47,9,203.154,151.05,1828.386,1359.45
expt-app-96,8,522.467,388.037,4179.736,3104.296
expt-app-33,3,673.147,587.702,2019.4410000000003,1763.106
expt-app-62,8,547.929,543.842,4383.432,4350.736
expt-app-9,10,149.923,14.979,1499.23,149.79
expt-app-92,7,676.917,625.427,4738.419,4377.9890000000005
expt-app-26,6,996.341,892.336,5978.046,5354.016
expt-app-87,8,435.581,431.469,3484.648,3451.752
expt-app-6,5,623.8820000000001,502.83,3119.4100000000003,2514.15
expt-app-71,8,547.935,544.16,4383.48,4353.28
expt-app-90,5,688.5409999999999,553.502,3442.705,2767.5099999999998
expt-app-69,4,1239.437,1153.442,4957.748,4613.768
expt-app-22,7,335.533,269.707,2348.731,1887.949
expt-app-53,8,265.168,198.996,2121.344,1591.968
expt-app-50,9,163.12699999999998,16.873,1468.1429999999998,151.857
expt-app-82,10,23.161,19.051,231.61,190.51
expt-app-1,8,145.514,141.293,1164.112,1130.344
expt-app-23,6,719.209,695.995,4315.254,4175.97
expt-app-58,5,339.512,261.459,1697.56,1307.295
expt-app-46,7,851.51,708.64,5960.57,4960.48
expt-app-43,9,106.074,27.252,954.6659999999999,245.268
expt-app-40,7,566.71,562.471,3966.9700000000003,3937.297
expt-app-65,3,1282.9219999999998,1216.272,3848.7659999999996,3648.816
expt-app-2,3,1699.821,1610.247,5099.463,4830.741
expt-app-79,10,239.27499999999998,164.803,2392.75,1648.03
expt-app-32,3,1709.413,1621.383,5128.239,4864.149
expt-app-16,9,369.685,365.401,3327.165,3288.609
expt-app-80,6,365.313,290.286,2191.8779999999997,1741.716
expt-app-84,2,1682.5810000000001,1562.385,3365.1620000000003,3124.77
expt-app-93,2,791.8589999999999,713.225,1583.7179999999998,1426.45
expt-app-77,8,578.6080000000001,574.837,4628.8640000000005,4598.696
expt-app-34,5,853.041,748.947,4265.205,3744.735
expt-app-78,4,482.391,347.538,1929.564,1390.152
expt-app-81,10,102.98599999999999,36.337,1029.86,363.37
expt-app-28,5,1500.838,1439.979,7504.19,7199.895
expt-app-89,8,207.066,72.467,1656.528,579.736
expt-app-67,1,1397.315,1318.503,1397.315,1318.503
expt-app-36,5,685.808,565.35,3429.04,2826.75
expt-app-20,8,311.552,206.721,2492.416,1653.768
expt-app-44,6,758.856,624.362,4553.136,3746.1719999999996
expt-app-41,4,174.674,108.755,698.696,435.02
expt-app-73,5,79.462,13.161,397.31,65.80499999999999
expt-app-64,10,72.366,68.226,723.66,682.26
expt-app-59,5,235.764,115.082,1178.8200000000002,575.41
expt-app-70,7,777.212,672.557,5440.484,4707.899
expt-app-11,6,980.0640000000001,837.477,5880.384,5024.862
expt-app-15,6,179.527,59.605,1077.1619999999998,357.63
expt-app-94,7,283.142,231.818,1981.994,1622.726
expt-app-86,9,78.46000000000001,74.634,706.1400000000001,671.706
expt-app-21,5,1791.795,1670.041,8958.975,8350.205
expt-app-24,5,701.762,623.31,3508.8099999999995,3116.5499999999997
expt-app-48,4,1273.1380000000001,1167.501,5092.552000000001,4670.004
expt-app-55,7,355.6,289.469,2489.2000000000003,2026.283
expt-app-88,9,113.80999999999999,2.753,1024.29,24.777
expt-app-42,2,2070.7,1921.554,4141.4,3843.108
expt-app-61,7,1348.2849999999999,1281.748,9437.994999999999,8972.236
expt-app-66,7,819.76,709.795,5738.32,4968.565
expt-app-19,2,1041.606,900.813,2083.212,1801.626
expt-app-31,9,267.14700000000005,162.596,2404.3230000000003,1463.364
expt-app-17,8,658.296,523.175,5266.368,4185.4
expt-app-76,9,284.16999999999996,242.155,2557.5299999999997,2179.395
expt-app-3,9,290.24,223.865,2612.16,2014.785
expt-app-18,10,90.636,16.701,906.3599999999999,167.01
expt-app-85,9,126.23300000000002,5.157,1136.0970000000002,46.413
expt-app-54,3,1032.194,905.823,3096.582,2717.469
