app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-93,6,395.72200000000004,290.422,2374.3320000000003,1742.5320000000002
expt-app-94,7,222.369,155.408,1556.583,1087.856
expt-app-35,9,379.742,244.276,3417.6780000000003,2198.484
expt-app-90,10,154.314,33.842,1543.1399999999999,338.41999999999996
expt-app-44,8,356.331,221.276,2850.648,1770.208
expt-app-75,6,503.751,381.531,3022.506,2289.186
expt-app-24,5,1680.3729999999998,1593.285,8401.865,7966.425
expt-app-34,10,318.274,213.266,3182.74,2132.66
expt-app-39,7,1726.183,1590.333,12083.280999999999,11132.331
expt-app-81,4,749.078,744.141,2996.312,2976.564
expt-app-17,10,86.718,8.29,867.1800000000001,82.89999999999999
expt-app-68,4,1130.3410000000001,1077.087,4521.3640000000005,4308.348
expt-app-21,5,1037.352,878.179,5186.76,4390.8949999999995
expt-app-87,8,506.05400000000003,428.603,4048.4320000000002,3428.824
expt-app-10,6,758.887,679.31,4553.322,4075.8599999999997
expt-app-53,8,351.448,230.479,2811.584,1843.832
expt-app-96,4,1650.026,1644.516,6600.104,6578.064
expt-app-30,8,147.02499999999998,11.136,1176.1999999999998,89.088
expt-app-66,8,262.822,175.055,2102.576,1400.44
expt-app-56,4,3863.5130000000004,3758.059,15454.052000000001,15032.236
expt-app-19,5,3529.8129999999996,3462.745,17649.065,17313.725
expt-app-72,5,146.93200000000002,68.591,734.6600000000001,342.955
expt-app-88,9,516.5889999999999,411.905,4649.3009999999995,3707.1449999999995
expt-app-15,4,1295.269,1151.944,5181.076,4607.776
expt-app-7,6,612.541,526.034,3675.246,3156.2039999999997
expt-app-91,4,3977.69,3827.92,15910.76,15311.68
expt-app-47,10,87.533,20.449,875.33,204.49
expt-app-63,10,171.041,84.986,1710.4099999999999,849.86
expt-app-65,5,1102.403,1035.263,5512.015,5176.315
expt-app-89,10,224.226,102.881,2242.26,1028.81
expt-app-22,10,280.577,167.665,2805.77,1676.6499999999999
expt-app-45,5,1996.514,1891.608,9982.57,9458.039999999999
expt-app-5,5,2109.752,2005.186,10548.76,10025.93
expt-app-73,5,3974.4069999999997,3907.705,19872.035,19538.525
expt-app-49,10,22.952,18.125,229.52,181.25
expt-app-36,7,602.441,535.242,4217.087,3746.6939999999995
expt-app-77,6,433.554,303.519,2601.3239999999996,1821.114
expt-app-51,9,629.1419999999999,487.357,5662.277999999999,4386.213000000001
expt-app-28,7,387.59700000000004,382.964,2713.179,2680.748
expt-app-98,8,891.471,734.208,7131.768,5873.664
expt-app-78,5,1322.886,1244.18,6614.43,6220.900000000001
expt-app-29,4,3711.973,3569.517,14847.892,14278.068
expt-app-83,10,129.44400000000002,17.135,1294.44,171.35000000000002
expt-app-9,5,566.525,460.865,2832.625,2304.325
expt-app-37,6,1552.176,1446.725,9313.056,8680.349999999999
expt-app-14,4,550.577,464.501,2202.308,1858.004
expt-app-40,4,921.7539999999999,772.2,3687.0159999999996,3088.8
expt-app-23,4,2288.35,2137.741,9153.4,8550.964
expt-app-38,5,683.7769999999999,548.128,3418.8849999999998,2740.6400000000003
expt-app-97,9,411.976,344.08,3707.784,3096.72
expt-app-1,9,122.062,64.157,1098.558,577.413
expt-app-70,10,105.45100000000001,26.978,1054.51,269.78000000000003
expt-app-4,6,132.81,28.708,796.86,172.248
expt-app-6,9,111.268,21.867,1001.412,196.803
expt-app-48,4,1146.973,1134.353,4587.892,4537.412
expt-app-74,5,2187.845,2134.026,10939.224999999999,10670.13
expt-app-71,9,225.829,104.787,2032.461,943.0830000000001
expt-app-69,7,529.436,379.694,3706.052,2657.858
expt-app-64,5,1575.38,1508.133,7876.900000000001,7540.665
expt-app-3,10,42.01,36.856,420.09999999999997,368.56
expt-app-27,10,367.803,246.99,3678.0299999999997,2469.9
expt-app-2,5,1120.9769999999999,1116.516,5604.884999999999,5582.58
expt-app-79,5,2089.478,2002.729,10447.39,10013.645
expt-app-82,7,430.465,294.612,3013.2549999999997,2062.284
