app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-70,10,83.787,9.306,837.8700000000001,93.05999999999999
expt-app-87,8,698.414,542.279,5587.312,4338.232
expt-app-90,10,161.493,34.155,1614.9299999999998,341.55
expt-app-82,7,315.15900000000005,261.819,2206.1130000000003,1832.7330000000002
expt-app-3,10,79.406,7.865,794.0600000000001,78.65
expt-app-44,8,285.339,171.781,2282.712,1374.248
expt-app-1,9,155.44,42.257,1398.96,380.313
expt-app-6,9,26.939,22.902,242.451,206.118
expt-app-69,7,236.183,108.197,1653.281,757.379
expt-app-72,5,150.76500000000001,23.747,753.825,118.735
expt-app-53,8,126.657,121.921,1013.256,975.368
expt-app-97,9,384.99899999999997,243.43,3464.9909999999995,2190.87
expt-app-17,10,10.737,6.946,107.37,69.46
expt-app-4,6,138.12800000000001,9.887,828.768,59.322
expt-app-22,10,137.868,62.599,1378.6799999999998,625.99
expt-app-9,5,496.632,410.714,2483.16,2053.57
expt-app-66,8,335.548,191.113,2684.384,1528.904
expt-app-71,9,119.836,115.518,1078.524,1039.662
expt-app-83,10,53.150999999999996,42.311,531.51,423.11
expt-app-27,10,139.387,128.982,1393.87,1289.82
expt-app-47,10,163.61999999999998,51.733,1636.1999999999998,517.3299999999999
expt-app-30,8,92.32799999999999,5.721,738.6239999999999,45.768
expt-app-49,10,80.217,14.023,802.17,140.23
expt-app-89,10,313.78299999999996,203.48,3137.8299999999995,2034.8
