app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-87,8,426.09599999999995,373.922,3408.7679999999996,2991.376
expt-app-23,4,1619.409,1615.139,6477.636,6460.556
expt-app-65,5,982.009,915.119,4910.045,4575.595
expt-app-1,9,170.543,97.218,1534.8870000000002,874.962
expt-app-15,4,566.0889999999999,488.139,2264.3559999999998,1952.556
expt-app-66,8,284.87800000000004,206.481,2279.0240000000003,1651.848
expt-app-5,5,858.478,844.517,4292.389999999999,4222.585
expt-app-85,4,3219.4919999999997,3076.075,12877.967999999999,12304.3
expt-app-14,4,368.47999999999996,301.939,1473.9199999999998,1207.756
expt-app-4,6,114.948,35.678,689.688,214.06799999999998
expt-app-71,9,175.14,54.198,1576.2599999999998,487.782
expt-app-74,5,1575.3429999999998,1570.865,7876.714999999999,7854.325
expt-app-63,10,225.555,141.066,2255.55,1410.66
expt-app-38,5,315.308,248.624,1576.54,1243.12
expt-app-36,7,730.011,587.642,5110.076999999999,4113.494000000001
expt-app-44,8,291.53299999999996,187.412,2332.2639999999997,1499.296
expt-app-82,7,355.13800000000003,240.237,2485.9660000000003,1681.6589999999999
expt-app-47,10,126.23,59.887,1262.3,598.87
expt-app-69,7,188.548,176.989,1319.836,1238.923
expt-app-80,4,221.599,162.349,886.396,649.396
expt-app-72,5,123.335,18.124,616.675,90.61999999999999
expt-app-94,7,157.56,104.53,1102.92,731.71
expt-app-40,4,523.968,445.93,2095.872,1783.72
expt-app-98,8,352.963,285.84,2823.704,2286.72
expt-app-75,6,228.743,176.676,1372.458,1060.056
expt-app-61,4,3059.864,2924.78,12239.456,11699.12
expt-app-90,10,87.775,75.976,877.75,759.76
expt-app-89,10,116.402,112.147,1164.02,1121.47
expt-app-6,9,122.738,2.436,1104.642,21.924
expt-app-45,5,1564.552,1435.25,7822.759999999999,7176.25
expt-app-9,5,463.383,358.001,2316.915,1790.0049999999999
expt-app-79,5,1515.314,1436.829,7576.570000000001,7184.1449999999995
expt-app-35,9,223.29299999999998,96.704,2009.6369999999997,870.3359999999999
expt-app-53,8,203.755,190.613,1630.04,1524.904
expt-app-24,5,1143.97,1139.743,5719.85,5698.715
expt-app-73,5,2498.745,2494.215,12493.724999999999,12471.075
expt-app-60,3,3293.681,3157.601,9881.043,9472.803
expt-app-21,5,700.5310000000001,621.55,3502.655,3107.75
expt-app-93,6,277.12199999999996,225.062,1662.7319999999997,1350.372
expt-app-81,4,527.539,441.437,2110.156,1765.748
expt-app-84,4,2754.457,2666.031,11017.828,10664.124
expt-app-95,1,3285.257,3149.248,3285.257,3149.248
expt-app-51,9,487.75,401.328,4389.75,3611.9519999999998
expt-app-83,10,114.92099999999999,36.678,1149.21,366.78
expt-app-56,4,2325.482,2239.711,9301.928,8958.844
expt-app-3,10,154.721,13.292,1547.21,132.92
expt-app-34,10,255.957,121.187,2559.5699999999997,1211.87
expt-app-88,9,370.271,304.029,3332.4390000000003,2736.261
expt-app-97,9,393.33000000000004,279.215,3539.9700000000003,2512.935
expt-app-22,10,150.181,84.17,1501.8100000000002,841.7
expt-app-10,6,1014.192,946.956,6085.152,5681.736
expt-app-77,6,208.204,147.404,1249.2240000000002,884.424
expt-app-64,5,1001.3199999999999,996.72,5006.599999999999,4983.6
expt-app-91,4,2577.808,2498.876,10311.232,9995.504
expt-app-37,6,762.62,757.619,4575.72,4545.714
expt-app-49,10,133.072,57.85,1330.72,578.5
expt-app-70,10,94.378,27.457,943.78,274.57
expt-app-30,8,121.813,55.52,974.504,444.16
expt-app-27,10,230.59099999999998,94.476,2305.91,944.76
expt-app-7,6,697.763,618.604,4186.578,3711.6240000000003
expt-app-2,5,897.9019999999999,818.996,4489.509999999999,4094.98
expt-app-19,5,2165.654,2093.19,10828.27,10465.95
expt-app-17,10,112.03699999999999,7.1,1120.37,71.0
expt-app-39,7,691.831,586.896,4842.817,4108.272
