app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-15,4,690.465,586.23,2761.86,2344.92
expt-app-72,5,173.095,24.043,865.475,120.215
expt-app-73,5,1614.315,1503.57,8071.575000000001,7517.849999999999
expt-app-5,5,779.989,713.616,3899.945,3568.08
expt-app-28,7,308.028,196.691,2156.196,1376.837
expt-app-70,10,100.711,13.857,1007.11,138.57
expt-app-34,10,184.28,63.211,1842.8,632.11
expt-app-35,9,221.665,86.286,1994.985,776.5740000000001
expt-app-88,9,241.244,161.968,2171.196,1457.712
expt-app-4,6,124.763,12.185,748.578,73.11
expt-app-90,10,138.536,59.8,1385.3600000000001,598.0
expt-app-47,10,135.795,15.546,1357.9499999999998,155.45999999999998
expt-app-38,5,337.964,270.517,1689.82,1352.585
expt-app-81,4,431.353,356.898,1725.412,1427.592
expt-app-75,6,314.29400000000004,247.49,1885.7640000000001,1484.94
expt-app-56,4,1369.979,1357.725,5479.916,5430.9
expt-app-51,9,366.462,231.629,3298.158,2084.661
expt-app-36,7,558.809,480.713,3911.6629999999996,3364.991
expt-app-63,10,125.64200000000001,59.572,1256.42,595.72
expt-app-74,5,1234.007,1128.008,6170.035,5640.04
expt-app-45,5,776.9399999999999,716.04,3884.7,3580.2
expt-app-82,7,265.329,129.159,1857.303,904.1129999999999
expt-app-40,4,497.16700000000003,360.982,1988.6680000000001,1443.928
expt-app-53,8,142.213,75.874,1137.704,606.992
expt-app-77,6,246.861,180.371,1481.166,1082.226
expt-app-27,10,212.689,91.592,2126.89,915.92
expt-app-14,4,462.815,383.991,1851.26,1535.964
expt-app-71,9,166.7,31.949,1500.3,287.541
expt-app-94,7,89.198,84.201,624.386,589.4069999999999
expt-app-6,9,142.756,7.846,1284.804,70.614
expt-app-66,8,73.33099999999999,68.783,586.6479999999999,550.264
expt-app-20,3,1796.2830000000001,1707.985,5388.849,5123.955
expt-app-98,8,296.281,218.305,2370.248,1746.44
expt-app-96,4,907.486,902.318,3629.944,3609.272
expt-app-1,9,153.14,42.032,1378.2599999999998,378.28799999999995
expt-app-89,10,264.121,159.697,2641.21,1596.97
expt-app-10,6,850.447,775.181,5102.682,4651.086
expt-app-69,7,238.26500000000001,159.366,1667.855,1115.5620000000001
expt-app-21,5,774.678,696.735,3873.39,3483.675
expt-app-91,4,1554.9660000000001,1549.484,6219.8640000000005,6197.936
expt-app-39,7,557.099,490.301,3899.693,3432.107
expt-app-30,8,32.65,22.247,261.2,177.976
expt-app-48,4,764.282,685.514,3057.128,2742.056
expt-app-3,10,129.17600000000002,8.419,1291.7600000000002,84.19
expt-app-64,5,584.202,509.365,2921.01,2546.825
expt-app-9,5,569.432,439.518,2847.16,2197.5899999999997
expt-app-22,10,70.547,66.103,705.47,661.03
expt-app-7,6,459.642,372.605,2757.852,2235.63
expt-app-17,10,61.474000000000004,8.454,614.74,84.54
expt-app-44,8,211.093,75.069,1688.744,600.552
expt-app-87,8,465.70099999999996,337.095,3725.6079999999997,2696.76
expt-app-78,5,1083.2759999999998,1007.723,5416.379999999999,5038.615
expt-app-37,6,611.217,536.334,3667.3019999999997,3218.004
expt-app-2,5,616.947,538.222,3084.735,2691.1099999999997
expt-app-79,5,971.3929999999999,844.935,4856.964999999999,4224.674999999999
expt-app-49,10,25.398,20.719,253.98,207.19
expt-app-23,4,810.2439999999999,743.27,3240.9759999999997,2973.08
expt-app-65,5,827.509,752.911,4137.545,3764.555
expt-app-83,10,78.222,19.733,782.2199999999999,197.33
expt-app-93,6,129.33800000000002,124.909,776.0280000000001,749.4540000000001
expt-app-24,5,580.923,576.388,2904.615,2881.94
expt-app-97,9,287.58299999999997,209.234,2588.247,1883.106
expt-app-19,5,1152.2079999999999,1085.514,5761.039999999999,5427.57
