app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-20,3,1991.2620000000002,1912.071,5973.786,5736.213
expt-app-51,9,375.264,240.252,3377.376,2162.268
expt-app-7,6,499.639,421.592,2997.834,2529.5519999999997
expt-app-73,5,1623.559,1518.121,8117.795,7590.6050000000005
expt-app-64,5,634.928,567.707,3174.64,2838.535
expt-app-19,5,1352.0890000000002,1285.233,6760.445000000001,6426.165
expt-app-78,5,1184.5220000000002,1117.368,5922.610000000001,5586.84
expt-app-79,5,944.6600000000001,816.902,4723.3,4084.51
expt-app-1,9,153.445,40.854,1381.0049999999999,367.686
expt-app-24,5,630.916,626.488,3154.5800000000004,3132.4400000000005
expt-app-3,10,128.91,7.789,1289.1,77.89
expt-app-72,5,180.512,22.938,902.56,114.69
expt-app-48,4,621.227,542.627,2484.908,2170.508
expt-app-21,5,530.033,440.701,2650.165,2203.505
expt-app-2,5,698.3589999999999,619.88,3491.7949999999996,3099.4
expt-app-77,6,243.10399999999998,176.267,1458.6239999999998,1057.6019999999999
expt-app-63,10,134.114,63.427,1341.14,634.27
expt-app-30,8,34.535999999999994,24.194,276.28799999999995,193.552
expt-app-70,10,101.872,13.436,1018.72,134.36
expt-app-66,8,74.936,70.636,599.488,565.088
expt-app-49,10,31.319,19.547,313.19,195.47
expt-app-10,6,770.254,703.663,4621.524,4221.978
expt-app-15,4,658.03,552.711,2632.12,2210.844
expt-app-17,10,58.235,5.687,582.35,56.870000000000005
expt-app-35,9,225.185,89.656,2026.665,806.904
expt-app-75,6,296.336,229.177,1778.016,1375.062
expt-app-74,5,1213.2549999999999,1099.04,6066.275,5495.2
expt-app-40,4,531.49,396.17,2125.96,1584.68
expt-app-69,7,241.756,156.986,1692.292,1098.902
expt-app-47,10,136.74800000000002,15.526,1367.4800000000002,155.26
expt-app-98,8,318.083,228.201,2544.664,1825.608
expt-app-34,10,181.954,61.68,1819.54,616.8
expt-app-45,5,630.737,579.03,3153.685,2895.1499999999996
expt-app-5,5,775.608,709.02,3878.04,3545.1
expt-app-28,7,319.226,214.202,2234.582,1499.414
expt-app-91,4,1617.907,1613.831,6471.628,6455.324
expt-app-27,10,196.583,75.577,1965.83,755.77
expt-app-14,4,510.19000000000005,431.909,2040.7600000000002,1727.636
expt-app-71,9,173.37199999999999,37.636,1560.348,338.72400000000005
expt-app-53,8,165.316,92.287,1322.528,738.296
expt-app-9,5,501.602,369.927,2508.0099999999998,1849.6350000000002
expt-app-87,8,371.319,281.086,2970.552,2248.688
expt-app-4,6,115.44699999999999,10.281,692.6819999999999,61.68600000000001
expt-app-83,10,78.919,20.392,789.1899999999999,203.92
expt-app-89,10,269.754,156.048,2697.54,1560.48
expt-app-93,6,128.388,124.759,770.328,748.554
expt-app-88,9,314.03700000000003,235.328,2826.3330000000005,2117.952
expt-app-36,7,451.67,372.871,3161.69,2610.0969999999998
expt-app-96,4,1076.782,1072.19,4307.128,4288.76
expt-app-81,4,430.435,363.988,1721.74,1455.952
expt-app-94,7,88.051,83.71,616.357,585.9699999999999
expt-app-97,9,305.064,223.209,2745.576,2008.881
expt-app-90,10,114.657,36.625,1146.57,366.25
expt-app-65,5,713.609,647.423,3568.045,3237.115
expt-app-82,7,289.773,148.128,2028.411,1036.896
expt-app-39,7,449.016,382.6,3143.112,2678.2000000000003
expt-app-22,10,72.196,67.933,721.96,679.33
expt-app-44,8,188.578,52.766,1508.624,422.128
expt-app-38,5,328.49699999999996,262.164,1642.4849999999997,1310.82
expt-app-37,6,461.441,395.268,2768.6459999999997,2371.6079999999997
expt-app-23,4,755.463,673.587,3021.852,2694.348
expt-app-6,9,142.516,6.935,1282.644,62.415
expt-app-56,4,1179.551,1168.257,4718.204,4673.028
