app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-17,10,61.065,8.17,610.65,81.7
expt-app-73,5,1737.834,1626.847,8689.17,8134.235
expt-app-15,4,661.179,555.772,2644.716,2223.088
expt-app-1,9,144.298,39.794,1298.682,358.14599999999996
expt-app-66,8,78.418,73.836,627.344,590.688
expt-app-37,6,540.344,473.163,3242.0640000000003,2838.978
expt-app-74,5,1133.632,1020.359,5668.16,5101.795
expt-app-78,5,1254.646,1180.708,6273.23,5903.540000000001
expt-app-14,4,471.854,392.805,1887.416,1571.22
expt-app-24,5,656.179,650.863,3280.895,3254.3150000000005
expt-app-71,9,176.744,32.884,1590.696,295.956
expt-app-47,10,136.14399999999998,15.965,1361.4399999999998,159.65
expt-app-38,5,346.5,280.628,1732.5,1403.1399999999999
expt-app-87,8,440.436,324.426,3523.488,2595.408
expt-app-23,4,642.464,575.653,2569.856,2302.612
expt-app-40,4,506.52799999999996,370.527,2026.1119999999999,1482.108
expt-app-69,7,243.719,156.978,1706.033,1098.846
expt-app-10,6,694.962,628.326,4169.772,3769.956
expt-app-91,4,1306.097,1301.571,5224.388,5206.284
expt-app-83,10,73.098,20.036,730.98,200.36
expt-app-88,9,217.275,134.366,1955.4750000000001,1209.294
expt-app-77,6,254.508,178.651,1527.048,1071.906
expt-app-82,7,267.992,128.084,1875.9440000000002,896.588
expt-app-94,7,113.634,110.012,795.438,770.0840000000001
expt-app-53,8,144.455,77.983,1155.64,623.864
expt-app-35,9,222.70000000000002,87.234,2004.3000000000002,785.106
expt-app-9,5,550.8969999999999,429.526,2754.4849999999997,2147.63
expt-app-5,5,576.2850000000001,503.341,2881.425,2516.705
expt-app-21,5,520.66,441.791,2603.2999999999997,2208.955
expt-app-48,4,792.7030000000001,714.009,3170.8120000000004,2856.036
expt-app-63,10,88.688,36.457,886.88,364.57
expt-app-19,5,1288.7450000000001,1222.017,6443.725,6110.085
expt-app-3,10,138.63400000000001,8.358,1386.3400000000001,83.58000000000001
expt-app-27,10,196.529,75.894,1965.29,758.94
expt-app-6,9,143.184,8.077,1288.656,72.693
expt-app-98,8,427.97200000000004,349.149,3423.7760000000003,2793.192
expt-app-22,10,96.217,91.441,962.17,914.4100000000001
expt-app-20,3,1790.8880000000001,1703.302,5372.664000000001,5109.906
expt-app-30,8,35.638000000000005,23.922,285.10400000000004,191.376
expt-app-75,6,296.465,229.806,1778.79,1378.836
expt-app-4,6,116.03399999999999,10.783,696.204,64.698
expt-app-45,5,656.8389999999999,594.842,3284.1949999999997,2974.21
expt-app-81,4,431.745,365.378,1726.98,1461.512
expt-app-96,4,890.343,878.816,3561.372,3515.264
expt-app-36,7,568.351,489.898,3978.457,3429.286
expt-app-56,4,1161.86,1157.555,4647.44,4630.22
expt-app-97,9,292.87600000000003,205.786,2635.8840000000005,1852.074
expt-app-44,8,212.459,77.117,1699.672,616.936
expt-app-7,6,473.894,395.288,2843.364,2371.728
expt-app-70,10,93.131,14.756,931.31,147.56
expt-app-65,5,712.757,646.832,3563.785,3234.16
expt-app-64,5,659.28,585.227,3296.3999999999996,2926.1349999999998
expt-app-2,5,594.12,515.987,2970.6,2579.935
expt-app-93,6,119.405,115.485,716.4300000000001,692.91
expt-app-90,10,112.868,34.356,1128.6799999999998,343.56
expt-app-72,5,179.09,22.737,895.45,113.68499999999999
expt-app-89,10,264.697,159.477,2646.9700000000003,1594.77
expt-app-34,10,190.955,61.296,1909.5500000000002,612.96
expt-app-39,7,390.167,315.326,2731.169,2207.282
expt-app-79,5,806.69,685.955,4033.4500000000003,3429.775
expt-app-28,7,299.827,194.956,2098.7889999999998,1364.692
expt-app-51,9,376.69599999999997,241.64,3390.2639999999997,2174.7599999999998
expt-app-49,10,23.221,19.011,232.21,190.10999999999999
