app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-15,4,711.935,606.278,2847.74,2425.112
expt-app-36,7,450.855,372.735,3155.985,2609.145
expt-app-35,9,234.427,88.837,2109.843,799.533
expt-app-87,8,365.697,279.181,2925.576,2233.448
expt-app-17,10,59.961,7.716,599.61,77.16
expt-app-90,10,116.161,37.555,1161.6100000000001,375.55
expt-app-10,6,796.006,729.541,4776.036,4377.246
expt-app-64,5,638.846,571.999,3194.23,2859.995
expt-app-22,10,73.27300000000001,68.745,732.7300000000001,687.45
expt-app-24,5,702.4970000000001,698.376,3512.4850000000006,3491.88
expt-app-72,5,172.994,23.981,864.97,119.905
expt-app-63,10,104.71,38.831,1047.1,388.31000000000006
expt-app-9,5,543.3050000000001,415.085,2716.5250000000005,2075.4249999999997
expt-app-83,10,76.86800000000001,18.468,768.6800000000001,184.68
expt-app-30,8,65.77900000000001,61.281,526.2320000000001,490.248
expt-app-93,6,129.488,124.775,776.928,748.6500000000001
expt-app-49,10,30.808,18.859,308.08,188.59000000000003
expt-app-89,10,263.20500000000004,158.843,2632.05,1588.4299999999998
expt-app-7,6,454.73400000000004,375.956,2728.4040000000005,2255.736
expt-app-69,7,239.561,161.218,1676.9270000000001,1128.5259999999998
expt-app-88,9,298.714,140.314,2688.426,1262.826
expt-app-5,5,686.319,620.432,3431.595,3102.16
expt-app-3,10,130.601,10.65,1306.01,106.5
expt-app-21,5,690.838,601.643,3454.1899999999996,3008.215
expt-app-81,4,439.524,373.277,1758.096,1493.108
expt-app-39,7,553.491,485.493,3874.437,3398.451
expt-app-51,9,380.221,239.873,3421.989,2158.857
expt-app-28,7,297.041,192.665,2079.287,1348.655
expt-app-27,10,214.386,93.434,2143.86,934.3399999999999
expt-app-97,9,291.133,212.919,2620.1969999999997,1916.2710000000002
expt-app-78,5,1301.663,1234.516,6508.3150000000005,6172.58
expt-app-82,7,272.495,129.102,1907.4650000000001,903.714
expt-app-20,3,1669.6660000000002,1590.428,5008.9980000000005,4771.284000000001
expt-app-34,10,181.529,60.612,1815.29,606.12
expt-app-71,9,176.989,35.036,1592.901,315.324
expt-app-19,5,1447.8390000000002,1380.992,7239.195000000001,6904.96
expt-app-66,8,72.295,67.887,578.36,543.096
expt-app-44,8,208.843,73.764,1670.744,590.112
expt-app-74,5,1104.948,989.437,5524.740000000001,4947.185
expt-app-94,7,100.31,96.324,702.1700000000001,674.268
expt-app-14,4,470.145,391.662,1880.58,1566.648
expt-app-38,5,353.26099999999997,277.542,1766.3049999999998,1387.7099999999998
expt-app-56,4,1439.9360000000001,1435.316,5759.744000000001,5741.264
expt-app-1,9,144.048,39.034,1296.432,351.306
expt-app-37,6,528.76,462.103,3172.56,2772.618
expt-app-48,4,881.8009999999999,802.808,3527.2039999999997,3211.232
expt-app-98,8,309.567,222.488,2476.536,1779.904
expt-app-77,6,244.961,178.282,1469.766,1069.692
expt-app-65,5,784.2679999999999,711.336,3921.3399999999997,3556.6800000000003
expt-app-70,10,93.132,14.861,931.32,148.61
expt-app-45,5,627.4889999999999,576.214,3137.4449999999997,2881.07
expt-app-73,5,1319.4109999999998,1213.74,6597.054999999999,6068.7
expt-app-23,4,652.377,577.903,2609.508,2311.612
expt-app-6,9,152.12800000000001,7.136,1369.152,64.224
expt-app-53,8,141.776,75.39,1134.208,603.12
expt-app-40,4,533.412,394.119,2133.648,1576.476
expt-app-4,6,118.88,10.248,713.28,61.488
expt-app-91,4,1397.462,1393.022,5589.848,5572.088
expt-app-2,5,575.7919999999999,489.762,2878.9599999999996,2448.81
expt-app-47,10,137.197,16.689,1371.97,166.89
expt-app-96,4,970.244,966.136,3880.976,3864.544
expt-app-79,5,910.778,789.627,4553.89,3948.1349999999998
expt-app-75,6,350.08099999999996,275.805,2100.486,1654.83
