app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-58,3,4391.139,4270.202,13173.417000000001,12810.606
expt-app-53,8,547.254,406.12,4378.032,3248.96
expt-app-2,9,141.839,63.177,1276.551,568.593
expt-app-80,4,540.026,453.636,2160.104,1814.544
expt-app-91,10,163.436,33.646,1634.3600000000001,336.46000000000004
expt-app-25,8,235.08200000000002,130.202,1880.6560000000002,1041.616
expt-app-34,10,98.508,20.056,985.0799999999999,200.56
expt-app-9,5,115.37899999999999,47.966,576.895,239.83
expt-app-31,8,269.573,147.715,2156.584,1181.72
expt-app-63,8,246.121,179.364,1968.968,1434.912
expt-app-87,10,279.411,143.062,2794.11,1430.6200000000001
expt-app-74,5,791.233,649.418,3956.165,3247.09
expt-app-14,7,193.552,117.998,1354.864,825.986
expt-app-99,4,871.522,803.753,3486.088,3215.012
expt-app-55,8,192.166,71.424,1537.328,571.392
expt-app-46,4,2851.175,2700.887,11404.7,10803.548
expt-app-71,3,8833.067,8827.893,26499.200999999997,26483.679
expt-app-13,4,5294.779,5216.165,21179.116,20864.66
expt-app-11,4,4669.818,4601.994,18679.272,18407.976
expt-app-69,7,209.10899999999998,147.93,1463.763,1035.51
expt-app-52,3,2089.859,2084.064,6269.576999999999,6252.191999999999
expt-app-90,10,156.43099999999998,35.376,1564.31,353.76
expt-app-94,4,115.42399999999999,36.35,461.69599999999997,145.4
expt-app-30,9,108.45299999999999,3.115,976.0769999999999,28.035000000000004
expt-app-98,1,633.053,547.253,633.053,547.253
expt-app-43,4,1548.0739999999998,1542.224,6192.295999999999,6168.896
expt-app-37,10,163.064,28.182,1630.6399999999999,281.82
expt-app-47,5,248.203,112.132,1241.015,560.6600000000001
expt-app-68,4,1473.2320000000002,1394.19,5892.928000000001,5576.76
expt-app-33,2,2854.547,2697.462,5709.094,5394.924
expt-app-76,7,763.495,696.661,5344.465,4876.6269999999995
expt-app-38,8,1859.121,1854.506,14872.968,14836.048
expt-app-54,1,449.046,369.39,449.046,369.39
expt-app-72,5,4606.311,4600.966,23031.555,23004.83
expt-app-42,8,736.534,601.294,5892.272,4810.352
expt-app-44,10,147.43800000000002,68.605,1474.38,686.0500000000001
expt-app-56,4,347.695,212.426,1390.78,849.704
expt-app-93,2,8574.473,8424.474,17148.946,16848.948
expt-app-59,6,638.343,585.181,3830.058,3511.0860000000002
expt-app-81,10,246.565,125.431,2465.65,1254.31
expt-app-89,9,140.887,35.876,1267.983,322.88399999999996
expt-app-88,2,548.9929999999999,469.853,1097.9859999999999,939.706
expt-app-23,4,1795.857,1716.497,7183.428,6865.988
expt-app-66,6,620.664,554.063,3723.984,3324.3779999999997
expt-app-21,6,313.45,238.475,1880.6999999999998,1430.85
expt-app-26,10,597.666,462.78,5976.660000000001,4627.799999999999
expt-app-49,9,181.612,46.406,1634.508,417.654
expt-app-85,8,455.278,381.105,3642.224,3048.84
expt-app-10,4,4916.356000000001,4863.568,19665.424000000003,19454.272
expt-app-12,5,337.68,284.897,1688.4,1424.485
expt-app-70,10,166.81,32.14,1668.1,321.4
expt-app-22,10,420.906,278.415,4209.06,2784.15
expt-app-92,9,2748.1369999999997,2695.073,24733.232999999997,24255.657
expt-app-4,2,5116.561,5037.003,10233.122,10074.006
expt-app-62,2,5917.036,5795.901,11834.072,11591.802
expt-app-77,10,192.262,110.11,1922.62,1101.1
expt-app-27,2,6295.295,6227.631,12590.59,12455.262
expt-app-95,8,126.356,114.472,1010.848,915.776
expt-app-41,3,494.205,415.261,1482.615,1245.7830000000001
expt-app-86,5,5545.874000000001,5492.257,27729.370000000003,27461.284999999996
expt-app-17,2,379.967,301.211,759.934,602.422
expt-app-40,7,292.075,179.728,2044.5249999999999,1258.096
expt-app-73,7,664.894,597.881,4654.258,4185.1669999999995
expt-app-1,10,171.41600000000003,35.819,1714.1600000000003,358.19000000000005
expt-app-82,4,691.342,569.886,2765.368,2279.544
expt-app-8,9,204.38,136.922,1839.42,1232.298
expt-app-36,9,133.70299999999997,28.423,1203.3269999999998,255.807
expt-app-64,2,5562.916,5456.428,11125.832,10912.856
expt-app-79,4,142.951,63.997,571.804,255.988
expt-app-24,7,5526.677000000001,5472.932,38686.739,38310.524
expt-app-20,9,244.64600000000002,177.392,2201.8140000000003,1596.528
expt-app-60,10,30.055,15.449,300.55,154.49
expt-app-75,10,381.432,260.187,3814.32,2601.87
expt-app-29,4,2035.117,2021.03,8140.468,8084.12
expt-app-67,5,192.103,79.376,960.5150000000001,396.88
expt-app-65,7,489.716,353.395,3428.012,2473.765
expt-app-83,8,654.581,534.31,5236.648,4274.48
expt-app-84,5,613.248,526.429,3066.2400000000002,2632.145
expt-app-78,3,7589.14,7584.163,22767.420000000002,22752.488999999998
expt-app-32,4,5185.158,5180.452,20740.632,20721.808
expt-app-18,10,97.183,30.105,971.83,301.05
expt-app-7,3,278.2,193.402,834.5999999999999,580.2059999999999
expt-app-97,3,4969.482,4863.282,14908.446,14589.846000000001
