app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-77,10,77.639,66.747,776.39,667.47
expt-app-39,7,323.766,245.554,2266.362,1718.878
expt-app-18,10,38.434999999999995,34.773,384.34999999999997,347.73
expt-app-12,5,606.0830000000001,539.771,3030.4150000000004,2698.8549999999996
expt-app-40,7,263.024,195.83,1841.1680000000001,1370.8100000000002
expt-app-2,9,229.09799999999998,93.358,2061.882,840.222
expt-app-87,10,238.487,132.697,2384.87,1326.97
expt-app-68,4,847.053,774.366,3388.212,3097.464
expt-app-29,4,2252.859,2117.142,9011.436,8468.568
expt-app-53,8,255.03799999999998,250.085,2040.3039999999999,2000.68
expt-app-33,2,2766.5280000000002,2609.942,5533.0560000000005,5219.884
expt-app-24,7,399.704,321.719,2797.928,2252.033
expt-app-76,7,372.771,293.494,2609.397,2054.458
expt-app-69,7,171.293,110.087,1199.051,770.609
expt-app-36,9,45.583999999999996,41.705,410.256,375.34499999999997
expt-app-97,3,546.471,441.694,1639.413,1325.082
expt-app-84,5,234.848,168.574,1174.24,842.8700000000001
expt-app-1,10,81.348,15.714,813.48,157.14000000000001
expt-app-20,9,332.466,265.92,2992.194,2393.28
expt-app-25,8,182.388,77.021,1459.104,616.168
expt-app-95,8,109.021,103.396,872.168,827.168
expt-app-67,5,347.46700000000004,227.294,1737.3350000000003,1136.47
expt-app-27,2,3319.8959999999997,3162.619,6639.7919999999995,6325.238
expt-app-7,3,509.37600000000003,360.429,1528.1280000000002,1081.2869999999998
expt-app-94,4,188.216,38.163,752.864,152.652
expt-app-49,9,151.06900000000002,15.675,1359.621,141.07500000000002
expt-app-88,2,567.861,463.313,1135.722,926.626
expt-app-56,4,288.476,213.152,1153.904,852.608
expt-app-26,10,329.031,277.224,3290.31,2772.24
expt-app-47,5,222.62,80.235,1113.1,401.175
expt-app-72,5,864.839,729.14,4324.195000000001,3645.7
expt-app-60,10,22.669,17.98,226.69,179.8
expt-app-71,3,3004.613,2868.808,9013.839,8606.423999999999
expt-app-91,10,137.839,17.15,1378.3899999999999,171.5
expt-app-78,3,2427.638,2291.268,7282.914,6873.804
expt-app-82,4,784.022,648.692,3136.088,2594.768
expt-app-90,10,172.03199999999998,22.002,1720.3199999999997,220.01999999999998
expt-app-59,6,735.087,606.629,4410.522,3639.7740000000003
expt-app-58,3,1012.753,877.316,3038.259,2631.9480000000003
expt-app-23,4,1642.264,1512.826,6569.056,6051.304
expt-app-62,2,1166.921,1030.842,2333.842,2061.684
expt-app-65,7,247.439,181.354,1732.0729999999999,1269.478
expt-app-79,4,262.259,112.441,1049.036,449.764
expt-app-41,3,512.972,401.047,1538.916,1203.141
expt-app-83,8,302.307,223.053,2418.456,1784.424
expt-app-85,8,217.85,151.427,1742.8,1211.416
expt-app-11,4,1135.616,1068.79,4542.464,4275.16
expt-app-80,4,593.7,527.707,2374.8,2110.828
expt-app-42,8,363.692,311.946,2909.536,2495.568
expt-app-35,6,397.978,319.358,2387.868,1916.1480000000001
expt-app-22,10,224.899,158.777,2248.99,1587.77
expt-app-37,10,124.686,20.035,1246.8600000000001,200.35
expt-app-10,4,725.1039999999999,611.979,2900.4159999999997,2447.916
expt-app-13,4,583.195,531.083,2332.78,2124.332
expt-app-55,8,134.58100000000002,29.56,1076.6480000000001,236.48
expt-app-17,2,467.059,323.692,934.118,647.384
expt-app-74,5,517.2280000000001,412.886,2586.1400000000003,2064.4300000000003
expt-app-66,6,731.533,644.768,4389.198,3868.608
expt-app-92,9,316.149,255.221,2845.341,2296.989
expt-app-34,10,149.12300000000002,14.447,1491.2300000000002,144.47
expt-app-31,8,194.496,89.802,1555.968,718.416
expt-app-21,6,214.71499999999997,210.024,1288.29,1260.144
expt-app-32,4,2328.844,2187.487,9315.376,8749.948
expt-app-9,5,135.902,15.293,679.51,76.465
expt-app-43,4,1316.117,1180.651,5264.468,4722.604
expt-app-93,2,2789.547,2639.901,5579.094,5279.802
expt-app-45,6,290.344,211.658,1742.0639999999999,1269.9479999999999
expt-app-63,8,379.838,235.114,3038.704,1880.912
expt-app-73,7,619.9559999999999,498.997,4339.691999999999,3492.9790000000003
expt-app-86,5,542.362,490.706,2711.81,2453.53
expt-app-14,7,143.46,140.083,1004.22,980.581
expt-app-89,9,116.388,11.772,1047.492,105.94800000000001
expt-app-81,10,192.09799999999998,70.856,1920.9799999999998,708.56
expt-app-64,2,582.645,503.923,1165.29,1007.846
expt-app-30,9,127.00900000000001,6.199,1143.0810000000001,55.791
expt-app-38,8,413.237,408.822,3305.896,3270.576
expt-app-8,9,281.97499999999997,207.733,2537.7749999999996,1869.597
expt-app-70,10,19.702,15.527,197.02,155.26999999999998
expt-app-44,10,112.00699999999999,33.102,1120.07,331.02
expt-app-46,4,2466.214,2323.59,9864.856,9294.36
expt-app-48,5,963.871,883.997,4819.355,4419.985
expt-app-99,4,495.83,429.274,1983.32,1717.096
expt-app-75,10,329.121,209.291,3291.21,2092.91
