app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-49,9,184.56900000000002,42.703,1661.121,384.327
expt-app-62,7,284.74699999999996,143.325,1993.2289999999998,1003.2749999999999
expt-app-23,10,103.698,92.824,1036.98,928.24
expt-app-46,6,224.666,150.388,1347.996,902.328
expt-app-50,1,593.442,580.185,593.442,580.185
expt-app-58,9,141.0,27.798,1269.0,250.182
expt-app-55,10,69.545,55.557,695.45,555.57
expt-app-32,7,49.921,38.612,349.447,270.284
expt-app-27,10,109.17999999999999,21.708,1091.8,217.07999999999998
expt-app-56,9,283.078,217.441,2547.7019999999998,1956.969
expt-app-87,10,343.459,232.464,3434.59,2324.64
expt-app-47,9,141.58,12.412,1274.22,111.70800000000001
expt-app-30,7,35.603,22.774,249.221,159.418
expt-app-51,6,413.63100000000003,327.231,2481.786,1963.386
expt-app-14,6,575.1579999999999,431.836,3450.9479999999994,2591.016
expt-app-79,4,485.209,364.503,1940.836,1458.012
expt-app-63,10,43.177,32.826,431.77,328.26
expt-app-98,10,91.644,5.212,916.44,52.12
expt-app-84,8,199.08100000000002,124.866,1592.6480000000001,998.928
expt-app-96,10,113.751,40.657,1137.51,406.56999999999994
