app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-0,3,166.822,161.602,500.466,484.80600000000004
expt-app-23,10,159.973,107.491,1599.73,1074.91
expt-app-62,7,354.45300000000003,287.971,2481.1710000000003,2015.797
expt-app-89,5,791.3829999999999,704.34,3956.9149999999995,3521.7000000000003
expt-app-9,6,832.182,710.854,4993.092000000001,4265.124
expt-app-51,6,324.20300000000003,257.274,1945.2180000000003,1543.644
expt-app-14,6,404.931,284.039,2429.586,1704.234
expt-app-18,6,78.209,73.541,469.254,441.246
expt-app-2,2,845.004,792.245,1690.008,1584.49
expt-app-30,7,34.433,22.165,241.031,155.155
expt-app-13,6,604.7660000000001,474.953,3628.5960000000005,2849.718
expt-app-98,10,78.183,2.654,781.83,26.54
expt-app-17,4,571.087,566.082,2284.348,2264.328
expt-app-46,6,426.564,290.419,2559.384,1742.514
expt-app-33,2,882.8059999999999,830.63,1765.6119999999999,1661.26
expt-app-6,9,286.62,143.901,2579.58,1295.1090000000002
expt-app-50,1,532.847,411.637,532.847,411.637
expt-app-31,4,558.524,452.499,2234.096,1809.996
expt-app-55,10,128.92100000000002,50.484,1289.2100000000003,504.84000000000003
expt-app-94,8,535.616,462.322,4284.928,3698.576
expt-app-53,4,601.351,496.445,2405.404,1985.78
expt-app-56,9,504.06700000000006,402.458,4536.603000000001,3622.1220000000003
expt-app-84,8,160.436,81.584,1283.488,652.672
expt-app-99,2,681.338,675.476,1362.676,1350.952
expt-app-58,9,219.87699999999998,75.397,1978.8929999999998,678.5730000000001
expt-app-24,5,644.355,516.925,3221.775,2584.625
expt-app-49,9,158.30700000000002,105.73,1424.7630000000001,951.57
expt-app-79,4,428.225,361.401,1712.9,1445.604
expt-app-64,6,733.852,667.811,4403.112,4006.866
expt-app-83,9,294.559,215.197,2651.0310000000004,1936.7730000000001
expt-app-43,3,580.1619999999999,575.104,1740.4859999999999,1725.3120000000001
expt-app-60,9,384.73400000000004,298.9,3462.606,2690.1
expt-app-4,8,381.809,303.066,3054.472,2424.528
expt-app-57,10,278.084,191.502,2780.84,1915.02
expt-app-86,7,506.25299999999993,430.767,3543.7709999999997,3015.369
expt-app-72,8,236.277,157.998,1890.216,1263.984
expt-app-87,10,255.228,248.692,2552.28,2486.92
expt-app-11,8,605.524,538.883,4844.192,4311.064
expt-app-66,4,648.293,520.572,2593.172,2082.288
expt-app-63,10,132.128,65.661,1321.2799999999997,656.61
expt-app-35,8,526.908,442.382,4215.264,3539.056
expt-app-59,9,218.212,157.677,1963.908,1419.0929999999998
expt-app-42,8,423.045,354.828,3384.36,2838.624
expt-app-93,7,523.519,456.34,3664.633,3194.3799999999997
expt-app-80,8,402.455,341.669,3219.64,2733.352
expt-app-21,10,344.28999999999996,337.215,3442.8999999999996,3372.1499999999996
expt-app-97,6,807.77,711.462,4846.62,4268.772
expt-app-27,10,120.50099999999999,6.294,1205.01,62.94
expt-app-77,5,574.744,508.177,2873.7200000000003,2540.885
expt-app-5,7,473.622,468.31,3315.3540000000003,3278.17
expt-app-96,10,127.20400000000001,6.276,1272.04,62.76
expt-app-22,2,765.779,706.131,1531.558,1412.262
expt-app-44,9,148.29999999999998,75.975,1334.6999999999998,683.775
expt-app-82,6,716.588,637.844,4299.528,3827.0640000000003
expt-app-47,9,112.20700000000001,33.575,1009.863,302.175
expt-app-32,7,168.353,70.093,1178.471,490.651
expt-app-39,8,278.623,142.949,2228.984,1143.592
expt-app-70,8,620.659,484.999,4965.272,3879.992
