app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-46,9,569.2570000000001,425.929,5123.313,3833.361
expt-app-75,2,478.356,337.811,956.712,675.622
expt-app-58,10,126.08900000000001,41.076,1260.89,410.76
expt-app-98,10,50.499,39.813,504.99,398.13
expt-app-55,8,250.17600000000002,94.301,2001.4080000000001,754.408
expt-app-83,10,118.509,41.411,1185.09,414.11
expt-app-23,10,182.392,26.312,1823.92,263.12
expt-app-88,10,237.80200000000002,149.03,2378.0200000000004,1490.3
expt-app-37,9,382.911,272.219,3446.199,2449.971
expt-app-7,9,38.385000000000005,28.093,345.46500000000003,252.837
expt-app-59,10,75.71700000000001,62.527,757.1700000000001,625.27
expt-app-73,7,225.137,81.111,1575.959,567.777
expt-app-93,8,221.102,147.448,1768.816,1179.584
expt-app-77,10,36.038000000000004,22.737,360.38000000000005,227.36999999999998
expt-app-41,8,170.42499999999998,24.901,1363.3999999999999,199.208
expt-app-14,10,146.283,72.83,1462.83,728.3
expt-app-57,9,397.393,337.967,3576.537,3041.703
