app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,8,251.17299999999997,94.202,2009.3839999999998,753.616
expt-app-59,10,73.134,62.445,731.34,624.45
expt-app-88,10,236.316,149.403,2363.16,1494.03
expt-app-83,10,116.43599999999999,40.598,1164.36,405.98
expt-app-75,2,474.68100000000004,330.963,949.3620000000001,661.926
expt-app-58,10,125.674,41.021,1256.74,410.21000000000004
expt-app-14,10,149.073,74.78,1490.73,747.8
expt-app-57,9,386.082,325.949,3474.738,2933.541
expt-app-46,9,559.404,416.518,5034.636,3748.662
expt-app-23,10,182.065,27.392,1820.65,273.92
expt-app-7,9,37.361,27.558,336.24899999999997,248.022
expt-app-73,7,223.208,81.877,1562.456,573.139
expt-app-93,8,227.104,153.758,1816.832,1230.064
expt-app-98,10,50.33,38.569,503.29999999999995,385.69000000000005
expt-app-77,10,34.022,23.376,340.21999999999997,233.76000000000002
expt-app-41,8,167.92399999999998,25.594,1343.3919999999998,204.752
expt-app-37,9,363.956,250.45,3275.6040000000003,2254.0499999999997
