app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-91,9,142.709,30.363,1284.381,273.267
expt-app-27,10,191.326,47.673,1913.26,476.73
expt-app-47,10,129.819,24.334,1298.1899999999998,243.34
expt-app-99,10,80.72999999999999,13.503,807.3,135.03
expt-app-83,10,432.873,418.788,4328.73,4187.88
expt-app-33,7,202.977,128.576,1420.839,900.0319999999999
expt-app-34,7,153.081,74.282,1071.567,519.9739999999999
expt-app-21,6,492.556,434.151,2955.336,2604.906
expt-app-68,10,402.459,389.357,4024.59,3893.57
expt-app-7,10,126.104,5.408,1261.04,54.080000000000005
expt-app-92,8,134.824,5.547,1078.592,44.376
expt-app-78,8,201.12,70.242,1608.96,561.936
expt-app-20,8,343.651,338.675,2749.208,2709.4
expt-app-65,8,329.38,200.939,2635.04,1607.512
expt-app-66,7,338.67,210.069,2370.69,1470.483
expt-app-63,9,113.625,27.136,1022.625,244.224
expt-app-84,7,183.16299999999998,62.558,1282.1409999999998,437.906
expt-app-18,10,173.816,31.121,1738.16,311.21
expt-app-40,9,168.766,19.536,1518.894,175.824
expt-app-88,10,180.16199999999998,107.834,1801.62,1078.3400000000001
expt-app-42,10,148.534,89.82,1485.34,898.1999999999999
expt-app-8,9,295.46099999999996,220.43,2659.1489999999994,1983.8700000000001
expt-app-51,10,102.63600000000001,18.156,1026.3600000000001,181.56
expt-app-72,8,407.687,253.288,3261.496,2026.304
expt-app-31,10,278.274,157.619,2782.74,1576.19
expt-app-11,8,516.3720000000001,430.436,4130.976000000001,3443.488
