app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-61,5,99.213,95.559,496.06499999999994,477.79499999999996
expt-app-29,8,534.888,417.131,4279.104,3337.048
expt-app-8,9,199.78799999999998,133.901,1798.0919999999999,1205.1090000000002
expt-app-60,3,475.361,422.725,1426.083,1268.1750000000002
expt-app-68,10,129.81,124.578,1298.1,1245.78
expt-app-99,10,117.894,6.015,1178.94,60.15
expt-app-55,6,573.534,469.09,3441.2039999999997,2814.54
expt-app-73,5,436.51099999999997,357.4,2182.555,1787.0
expt-app-1,7,362.614,288.444,2538.298,2019.1080000000002
expt-app-85,7,267.255,257.612,1870.7849999999999,1803.284
expt-app-45,4,457.687,391.372,1830.748,1565.488
expt-app-4,6,308.488,303.662,1850.9279999999999,1821.9719999999998
expt-app-63,9,155.025,28.349,1395.2250000000001,255.141
expt-app-30,7,213.229,135.12,1492.603,945.84
expt-app-81,6,526.039,390.947,3156.234,2345.682
expt-app-11,8,349.519,283.479,2796.152,2267.832
expt-app-71,1,1104.512,983.638,1104.512,983.638
expt-app-51,10,102.055,21.975,1020.5500000000001,219.75
expt-app-39,6,380.799,303.364,2284.794,1820.1839999999997
expt-app-38,3,1114.722,979.287,3344.166,2937.861
expt-app-48,3,679.1859999999999,538.595,2037.5579999999998,1615.785
expt-app-27,10,137.789,33.754,1377.8899999999999,337.53999999999996
expt-app-89,7,324.027,249.297,2268.189,1745.079
expt-app-56,7,484.508,338.969,3391.556,2372.783
expt-app-96,3,939.592,818.75,2818.776,2456.25
expt-app-12,7,455.478,388.836,3188.346,2721.852
expt-app-58,9,349.437,287.623,3144.933,2588.607
expt-app-40,9,91.561,13.593,824.0490000000001,122.337
expt-app-49,2,659.354,606.449,1318.708,1212.898
expt-app-86,6,702.076,597.439,4212.456,3584.634
expt-app-72,8,80.711,28.859,645.688,230.872
expt-app-36,6,333.272,329.073,1999.632,1974.4379999999999
expt-app-57,3,540.11,473.511,1620.33,1420.5330000000001
expt-app-43,4,895.39,760.348,3581.56,3041.392
expt-app-87,5,673.794,562.352,3368.97,2811.7599999999998
expt-app-35,4,506.93600000000004,440.745,2027.7440000000001,1762.98
expt-app-88,10,192.59699999999998,34.777,1925.9699999999998,347.77
expt-app-21,6,313.65,235.089,1881.8999999999999,1410.534
expt-app-92,8,62.627,10.751,501.016,86.008
expt-app-91,9,49.406,44.789,444.654,403.101
expt-app-83,10,310.73499999999996,306.724,3107.3499999999995,3067.24
expt-app-33,7,415.35,278.096,2907.4500000000003,1946.672
expt-app-75,5,565.36,423.355,2826.8,2116.775
expt-app-7,10,155.721,7.14,1557.21,71.39999999999999
expt-app-70,7,133.523,66.691,934.661,466.837
expt-app-37,4,498.87,445.793,1995.48,1783.172
expt-app-47,10,182.664,34.281,1826.6399999999999,342.81
expt-app-18,10,39.542,29.652,395.42,296.52
expt-app-46,7,991.46,977.14,6940.22,6839.98
expt-app-20,8,199.33,147.216,1594.64,1177.728
expt-app-19,2,1228.06,1078.8,2456.12,2157.6
expt-app-66,7,174.38600000000002,95.999,1220.7020000000002,671.9929999999999
expt-app-14,2,976.6850000000001,864.11,1953.3700000000001,1728.22
expt-app-6,1,1438.323,1333.038,1438.323,1333.038
expt-app-34,7,152.232,73.837,1065.624,516.859
expt-app-67,1,1985.851,1850.203,1985.851,1850.203
expt-app-10,3,789.5029999999999,677.54,2368.509,2032.62
expt-app-98,3,1610.371,1489.33,4831.113,4467.99
expt-app-26,10,392.787,388.152,3927.87,3881.52
expt-app-78,8,159.387,24.27,1275.096,194.16
expt-app-17,4,292.509,225.907,1170.036,903.628
expt-app-95,8,209.732,88.739,1677.856,709.912
expt-app-25,6,583.244,449.282,3499.464,2695.692
expt-app-79,3,512.808,364.478,1538.424,1093.434
expt-app-65,8,222.531,101.626,1780.248,813.008
expt-app-16,5,621.129,516.483,3105.645,2582.415
expt-app-94,5,441.866,375.757,2209.33,1878.785
expt-app-31,10,149.12800000000001,40.366,1491.2800000000002,403.65999999999997
expt-app-64,9,126.831,49.041,1141.479,441.36899999999997
expt-app-97,5,723.7040000000001,609.435,3618.5200000000004,3047.1749999999997
expt-app-84,7,145.01500000000001,17.325,1015.1050000000001,121.27499999999999
expt-app-80,7,483.438,348.538,3384.066,2439.766
expt-app-69,2,712.176,576.773,1424.352,1153.546
expt-app-22,8,470.649,467.507,3765.192,3740.056
expt-app-42,10,92.896,19.535,928.96,195.35
