app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,1,2119.035,1983.768,2119.035,1983.768
expt-app-17,6,814.3470000000001,747.582,4886.082,4485.492
expt-app-31,4,2179.0319999999997,2058.536,8716.127999999999,8234.144
expt-app-38,1,918.6990000000001,913.677,918.6990000000001,913.677
expt-app-92,5,648.115,542.73,3240.575,2713.65
expt-app-91,7,449.403,344.628,3145.821,2412.3959999999997
expt-app-53,10,125.79799999999999,5.477,1257.9799999999998,54.77
expt-app-84,6,717.5310000000001,611.204,4305.186000000001,3667.2239999999997
expt-app-41,10,157.189,31.017,1571.8899999999999,310.17
expt-app-39,4,1025.01,904.37,4100.04,3617.48
expt-app-25,7,557.059,451.865,3899.4129999999996,3163.0550000000003
expt-app-59,2,3295.525,3228.133,6591.05,6456.266
expt-app-37,7,54.815000000000005,50.219,383.70500000000004,351.533
expt-app-6,6,507.564,440.405,3045.384,2642.43
expt-app-26,5,571.567,435.813,2857.835,2179.065
expt-app-87,1,453.095,448.432,453.095,448.432
expt-app-80,6,452.503,385.351,2715.018,2312.1059999999998
expt-app-46,6,764.265,649.107,4585.59,3894.642
expt-app-44,7,146.15900000000002,93.128,1023.1130000000002,651.896
expt-app-32,3,654.313,587.015,1962.9389999999999,1761.045
expt-app-75,3,353.757,222.9,1061.271,668.7
expt-app-4,5,2352.315,2232.036,11761.575,11160.18
expt-app-50,3,2659.3849999999998,2591.998,7978.154999999999,7775.994000000001
expt-app-49,8,260.932,256.739,2087.456,2053.912
expt-app-69,8,407.99,280.184,3263.92,2241.472
expt-app-95,5,1204.46,1199.473,6022.3,5997.365
expt-app-63,4,358.13800000000003,291.126,1432.5520000000001,1164.504
expt-app-88,2,3278.877,3121.068,6557.754,6242.136
expt-app-83,9,414.713,279.424,3732.4170000000004,2514.816
expt-app-98,1,2921.231,2771.148,2921.231,2771.148
expt-app-90,6,177.618,34.918,1065.708,209.50799999999998
expt-app-0,6,474.15299999999996,382.388,2844.9179999999997,2294.328
expt-app-81,6,529.435,409.051,3176.6099999999997,2454.306
expt-app-12,1,1430.4889999999998,1295.049,1430.4889999999998,1295.049
expt-app-68,7,274.55400000000003,207.852,1921.8780000000002,1454.964
expt-app-5,2,151.613,47.13,303.226,94.26
expt-app-93,10,111.128,44.099,1111.28,440.98999999999995
expt-app-61,9,175.636,111.27,1580.724,1001.43
expt-app-76,5,446.045,355.411,2230.225,1777.055
expt-app-55,2,510.93100000000004,390.201,1021.8620000000001,780.402
expt-app-43,5,332.312,265.411,1661.56,1327.055
expt-app-13,4,926.2850000000001,781.547,3705.1400000000003,3126.188
expt-app-94,2,4263.737,4116.276,8527.474,8232.552
expt-app-36,10,214.15400000000002,209.788,2141.5400000000004,2097.88
expt-app-22,3,3209.349,3129.991,9628.047,9389.973
expt-app-33,4,2663.675,2596.448,10654.7,10385.792
expt-app-66,9,87.04599999999999,34.817,783.414,313.353
expt-app-78,9,374.678,308.025,3372.102,2772.225
expt-app-58,9,226.70000000000002,152.336,2040.3000000000002,1371.0240000000001
expt-app-18,4,2582.376,2514.946,10329.504,10059.784
expt-app-79,5,1070.6299999999999,935.411,5353.15,4677.054999999999
expt-app-45,8,469.22700000000003,334.645,3753.8160000000003,2677.16
expt-app-1,10,148.095,60.586,1480.95,605.86
expt-app-29,10,169.149,73.628,1691.49,736.28
expt-app-73,5,236.348,169.374,1181.74,846.87
expt-app-96,4,2450.603,2371.264,9802.412,9485.056
expt-app-21,2,1021.218,943.118,2042.436,1886.236
expt-app-28,10,170.34099999999998,35.183,1703.4099999999999,351.83
expt-app-51,5,503.94300000000004,399.538,2519.715,1997.69
expt-app-57,6,591.46,579.544,3548.76,3477.264
expt-app-20,2,846.7710000000001,780.161,1693.5420000000001,1560.322
expt-app-82,1,3501.906,3352.117,3501.906,3352.117
expt-app-60,2,3382.0640000000003,3223.675,6764.128000000001,6447.35
expt-app-15,9,264.68,186.306,2382.12,1676.7540000000001
expt-app-11,9,231.263,152.149,2081.367,1369.341
expt-app-65,8,427.87199999999996,293.748,3422.9759999999997,2349.984
expt-app-10,10,126.804,38.224,1268.04,382.23999999999995
expt-app-14,3,2960.6119999999996,2944.521,8881.836,8833.563
expt-app-24,6,644.861,555.832,3869.166,3334.992
expt-app-40,1,927.258,860.217,927.258,860.217
expt-app-62,6,545.027,540.665,3270.1620000000003,3243.99
expt-app-7,2,2675.201,2538.799,5350.402,5077.598
expt-app-35,3,2841.0829999999996,2735.699,8523.249,8207.097
