app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-95,5,1323.577,1245.103,6617.885,6225.515
expt-app-66,9,90.333,37.091,812.997,333.819
expt-app-50,3,2422.484,2355.526,7267.451999999999,7066.5779999999995
expt-app-37,7,65.03200000000001,60.605,455.22400000000005,424.23499999999996
expt-app-11,9,225.792,140.071,2032.128,1260.639
expt-app-62,6,524.582,510.616,3147.492,3063.696
expt-app-17,6,801.077,734.058,4806.4619999999995,4404.348
expt-app-22,3,3459.107,3380.16,10377.321,10140.48
expt-app-60,2,2828.487,2678.907,5656.974,5357.814
expt-app-88,2,2962.263,2807.773,5924.526,5615.546
expt-app-49,8,263.787,257.893,2110.296,2063.144
expt-app-57,6,579.244,574.351,3475.464,3446.1059999999998
expt-app-91,7,444.622,339.165,3112.3540000000003,2374.155
expt-app-13,4,1086.4089999999999,950.134,4345.6359999999995,3800.536
expt-app-96,4,2507.594,2429.106,10030.376,9716.424
expt-app-59,2,3610.276,3542.957,7220.552,7085.914
expt-app-73,5,243.67600000000002,170.24,1218.38,851.2
expt-app-43,5,325.299,258.398,1626.495,1291.9900000000002
expt-app-46,6,752.188,647.372,4513.128,3884.232
expt-app-98,1,2845.404,2695.982,2845.404,2695.982
expt-app-29,10,149.447,65.12,1494.47,651.2
expt-app-69,8,404.262,282.833,3234.096,2262.664
expt-app-21,2,1128.839,1050.054,2257.678,2100.108
expt-app-75,3,353.169,232.292,1059.507,696.876
expt-app-32,3,709.76,643.193,2129.2799999999997,1929.579
expt-app-53,10,134.631,5.597,1346.31,55.970000000000006
expt-app-26,5,601.582,466.476,3007.91,2332.38
expt-app-14,3,2613.484,2608.097,7840.451999999999,7824.291000000001
expt-app-83,9,396.66,261.314,3569.94,2351.826
expt-app-31,4,2479.629,2358.467,9918.516,9433.868
expt-app-63,4,357.653,291.471,1430.612,1165.884
expt-app-58,9,202.382,135.704,1821.438,1221.336
expt-app-39,4,993.924,867.063,3975.696,3468.252
expt-app-1,10,147.72199999999998,59.875,1477.2199999999998,598.75
expt-app-51,5,513.792,408.88,2568.96,2044.4
expt-app-33,4,2595.555,2522.772,10382.22,10091.088
expt-app-55,2,496.212,366.049,992.424,732.098
expt-app-45,8,385.944,251.15,3087.552,2009.2
expt-app-12,1,1348.883,1213.359,1348.883,1213.359
expt-app-44,7,174.911,114.853,1224.377,803.971
expt-app-25,7,556.1310000000001,451.064,3892.9170000000004,3157.4480000000003
expt-app-35,3,2589.374,2484.708,7768.121999999999,7454.124
expt-app-61,9,164.01,111.343,1476.09,1002.087
expt-app-4,5,2182.2149999999997,2032.501,10911.074999999999,10162.505
expt-app-6,6,537.783,471.308,3226.6980000000003,2827.848
expt-app-80,6,450.66,383.719,2703.96,2302.314
expt-app-92,5,825.662,720.444,4128.31,3602.22
expt-app-90,6,170.156,34.807,1020.936,208.842
expt-app-82,1,3575.6839999999997,3425.835,3575.6839999999997,3425.835
expt-app-84,6,762.525,657.767,4575.15,3946.6020000000003
expt-app-94,2,4175.083,4031.475,8350.166,8062.95
expt-app-18,4,2906.368,2828.963,11625.472,11315.852
expt-app-15,9,297.514,218.893,2677.626,1970.037
expt-app-10,10,129.585,40.645,1295.8500000000001,406.45000000000005
expt-app-24,6,655.47,569.43,3932.82,3416.58
expt-app-87,1,438.392,433.946,438.392,433.946
expt-app-5,2,153.174,48.056,306.348,96.112
expt-app-79,5,1159.863,1024.029,5799.3150000000005,5120.145
expt-app-36,10,209.405,204.952,2094.05,2049.52
expt-app-93,10,118.257,44.241,1182.5700000000002,442.40999999999997
expt-app-76,5,511.57699999999994,430.803,2557.8849999999998,2154.015
expt-app-38,1,918.369,913.162,918.369,913.162
expt-app-7,2,2727.7650000000003,2591.928,5455.530000000001,5183.856
expt-app-78,9,372.219,306.335,3349.971,2757.015
expt-app-28,10,178.186,35.215,1781.8600000000001,352.15000000000003
expt-app-81,6,567.2230000000001,446.773,3403.3380000000006,2680.638
expt-app-2,1,2024.8370000000002,1889.205,2024.8370000000002,1889.205
expt-app-0,6,473.894,387.882,2843.364,2327.292
expt-app-40,1,959.423,893.192,959.423,893.192
expt-app-41,10,163.878,38.199,1638.7799999999997,381.99
expt-app-20,2,847.891,779.614,1695.782,1559.228
expt-app-68,7,388.319,321.935,2718.233,2253.545
expt-app-65,8,427.88,291.878,3423.04,2335.024
