app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-16,8,156.99099999999999,82.456,1255.9279999999999,659.648
expt-app-58,7,451.019,372.799,3157.133,2609.593
expt-app-44,10,297.935,225.467,2979.35,2254.67
expt-app-50,6,421.783,301.175,2530.6980000000003,1807.0500000000002
expt-app-27,10,40.922,36.665,409.21999999999997,366.65
expt-app-13,6,162.94400000000002,95.772,977.6640000000001,574.6320000000001
expt-app-97,2,1642.9830000000002,1590.603,3285.9660000000003,3181.206
expt-app-87,8,132.751,58.156,1062.008,465.248
expt-app-10,9,185.95600000000002,82.032,1673.6040000000003,738.288
expt-app-68,3,1293.397,1225.339,3880.191,3676.017
expt-app-7,3,1381.428,1372.054,4144.284000000001,4116.162
expt-app-37,10,115.302,37.125,1153.02,371.25
expt-app-48,2,624.86,489.864,1249.72,979.728
expt-app-56,9,158.95999999999998,22.742,1430.6399999999999,204.678
expt-app-90,7,214.924,151.327,1504.468,1059.289
expt-app-53,5,51.095,46.929,255.475,234.645
expt-app-28,9,532.431,419.51,4791.879000000001,3775.59
expt-app-76,9,243.80599999999998,190.685,2194.254,1716.165
expt-app-83,10,166.732,100.185,1667.32,1001.85
expt-app-6,6,361.088,294.025,2166.5280000000002,1764.1499999999999
expt-app-65,1,519.2339999999999,383.535,519.2339999999999,383.535
expt-app-60,3,307.77700000000004,220.581,923.3310000000001,661.7429999999999
expt-app-43,4,1146.2859999999998,1141.354,4585.143999999999,4565.416
expt-app-54,10,148.001,42.69,1480.01,426.9
expt-app-8,2,479.44399999999996,357.961,958.8879999999999,715.922
expt-app-49,6,1119.018,1052.73,6714.108,6316.38
expt-app-38,3,581.177,450.845,1743.531,1352.535
expt-app-18,3,441.724,354.756,1325.172,1064.268
expt-app-80,7,125.73899999999999,5.156,880.1729999999999,36.092
expt-app-14,3,281.447,202.21,844.341,606.63
expt-app-30,9,416.943,312.545,3752.487,2812.905
expt-app-5,10,159.625,54.516,1596.25,545.16
expt-app-74,7,410.123,326.194,2870.861,2283.358
expt-app-64,2,567.196,431.999,1134.392,863.998
expt-app-94,2,451.82,372.925,903.64,745.85
expt-app-95,7,179.406,100.316,1255.842,702.212
expt-app-33,5,188.302,68.092,941.51,340.46
expt-app-91,1,1744.723,1677.428,1744.723,1677.428
expt-app-93,10,137.209,32.22,1372.0900000000001,322.2
expt-app-36,7,468.793,401.934,3281.551,2813.538
expt-app-69,5,174.954,171.043,874.77,855.215
expt-app-35,9,246.311,141.313,2216.799,1271.817
expt-app-85,9,107.469,2.637,967.221,23.733
expt-app-25,6,338.493,259.846,2030.958,1559.076
expt-app-98,6,879.59,736.036,5277.54,4416.215999999999
expt-app-42,6,1044.65,991.756,6267.900000000001,5950.536
expt-app-22,9,335.308,268.908,3017.772,2420.172
expt-app-72,10,114.146,36.122,1141.46,361.22
expt-app-96,8,160.195,93.195,1281.56,745.56
expt-app-23,8,371.98900000000003,259.309,2975.9120000000003,2074.472
expt-app-47,6,249.797,170.801,1498.782,1024.806
expt-app-11,9,272.003,197.099,2448.027,1773.8909999999998
expt-app-39,10,221.768,143.807,2217.68,1438.07
expt-app-77,7,251.497,146.64,1760.479,1026.48
expt-app-51,4,305.457,230.428,1221.828,921.712
expt-app-31,5,647.4830000000001,634.717,3237.4150000000004,3173.585
expt-app-82,10,26.53,22.148,265.3,221.48
expt-app-67,3,621.672,499.989,1865.016,1499.9669999999999
expt-app-26,7,369.324,292.755,2585.268,2049.285
expt-app-62,4,155.66299999999998,151.436,622.6519999999999,605.744
expt-app-99,7,542.4989999999999,463.869,3797.4929999999995,3247.083
expt-app-32,10,112.176,7.831,1121.76,78.31
expt-app-78,5,1254.958,1118.876,6274.790000000001,5594.38
expt-app-89,7,173.42499999999998,53.709,1213.975,375.963
expt-app-66,10,105.41300000000001,19.004,1054.13,190.04000000000002
expt-app-61,8,366.585,300.629,2932.68,2405.032
expt-app-0,9,245.581,166.381,2210.229,1497.429
expt-app-73,4,490.182,368.77,1960.728,1475.08
expt-app-59,9,88.807,22.41,799.263,201.69
expt-app-34,5,917.9929999999999,861.059,4589.965,4305.295
expt-app-88,3,211.924,137.484,635.772,412.452
expt-app-20,7,154.942,151.049,1084.594,1057.343
expt-app-1,1,1029.8970000000002,924.0,1029.8970000000002,924.0
expt-app-21,2,1354.1689999999999,1300.406,2708.3379999999997,2600.812
expt-app-24,9,301.639,234.947,2714.751,2114.523
expt-app-45,5,739.0020000000001,724.575,3695.01,3622.875
expt-app-86,6,899.89,819.359,5399.34,4916.154
expt-app-4,5,283.418,204.61,1417.0900000000001,1023.0500000000001
expt-app-70,9,155.04899999999998,43.354,1395.4409999999998,390.186
expt-app-81,8,209.334,143.284,1674.672,1146.272
expt-app-52,5,585.741,506.502,2928.705,2532.51
expt-app-12,4,460.613,356.473,1842.452,1425.892
expt-app-15,3,1463.338,1327.166,4390.014,3981.4979999999996
