app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-61,8,133.013,128.639,1064.104,1029.112
expt-app-98,6,477.009,372.201,2862.054,2233.206
expt-app-86,6,336.611,284.632,2019.666,1707.792
expt-app-24,9,422.084,417.474,3798.756,3757.266
expt-app-49,6,537.434,458.923,3224.604,2753.538
expt-app-36,7,369.575,256.46,2587.025,1795.2199999999998
expt-app-56,9,130.395,9.646,1173.555,86.81400000000001
expt-app-95,7,203.453,136.275,1424.171,953.9250000000001
expt-app-80,7,93.184,7.849,652.288,54.943
expt-app-67,3,637.178,501.653,1911.534,1504.959
expt-app-73,4,504.862,370.028,2019.448,1480.112
expt-app-50,6,448.909,313.053,2693.4539999999997,1878.318
expt-app-66,10,159.311,24.272,1593.1100000000001,242.71999999999997
expt-app-10,9,200.265,70.728,1802.3849999999998,636.5519999999999
expt-app-38,3,675.016,595.407,2025.0479999999998,1786.221
expt-app-97,2,1360.554,1212.011,2721.108,2424.022
expt-app-93,10,141.40800000000002,20.53,1414.0800000000002,205.3
expt-app-6,6,310.26300000000003,231.132,1861.5780000000002,1386.792
expt-app-20,7,112.833,33.647,789.831,235.529
expt-app-2,4,684.404,610.161,2737.616,2440.644
expt-app-30,9,141.127,137.066,1270.143,1233.594
expt-app-39,10,309.546,188.058,3095.46,1880.58
expt-app-26,7,203.44,198.596,1424.08,1390.172
expt-app-43,4,1004.1929999999999,899.819,4016.7719999999995,3599.276
expt-app-15,3,641.756,536.493,1925.268,1609.4790000000003
expt-app-28,9,182.448,169.934,1642.0320000000002,1529.406
expt-app-62,4,109.604,105.513,438.416,422.052
expt-app-5,10,148.362,44.245,1483.62,442.45
expt-app-34,5,549.965,445.391,2749.8250000000003,2226.955
expt-app-44,10,360.676,240.649,3606.7599999999998,2406.49
expt-app-81,8,201.708,88.367,1613.664,706.936
expt-app-74,7,341.5,263.085,2390.5,1841.5949999999998
expt-app-27,10,154.64,19.806,1546.3999999999999,198.06
expt-app-11,9,243.339,131.727,2190.051,1185.5430000000001
expt-app-77,7,256.565,135.909,1795.955,951.3629999999999
expt-app-60,3,550.344,401.636,1651.0320000000002,1204.9080000000001
expt-app-52,5,302.819,230.679,1514.095,1153.395
expt-app-70,9,149.019,44.591,1341.171,401.319
expt-app-51,4,177.784,165.921,711.136,663.684
expt-app-13,6,144.24,78.051,865.44,468.30600000000004
expt-app-33,5,153.57899999999998,75.316,767.8949999999999,376.58000000000004
expt-app-90,7,178.332,112.489,1248.324,787.423
expt-app-35,9,142.901,75.716,1286.1090000000002,681.444
expt-app-23,8,193.91400000000002,127.182,1551.3120000000001,1017.456
expt-app-78,5,757.595,636.48,3787.9750000000004,3182.4
expt-app-53,5,48.527,43.685,242.635,218.425
expt-app-32,10,117.881,4.326,1178.81,43.26
expt-app-16,8,101.855,35.307,814.84,282.456
expt-app-65,1,502.042,366.493,502.042,366.493
expt-app-22,9,125.279,121.372,1127.511,1092.348
expt-app-12,4,535.995,460.474,2143.98,1841.896
expt-app-4,5,281.126,214.982,1405.6299999999999,1074.91
expt-app-21,2,1058.261,909.18,2116.522,1818.36
expt-app-14,3,696.923,562.204,2090.7690000000002,1686.6119999999999
expt-app-91,1,1517.439,1368.454,1517.439,1368.454
expt-app-48,2,994.147,873.34,1988.294,1746.68
expt-app-25,6,700.021,558.24,4200.126,3349.44
expt-app-89,7,119.127,40.001,833.889,280.007
expt-app-47,6,656.857,521.754,3941.142,3130.5240000000003
expt-app-7,3,1124.485,1020.161,3373.455,3060.4829999999997
expt-app-82,10,127.09300000000002,13.959,1270.9300000000003,139.59
expt-app-83,10,133.39999999999998,29.274,1333.9999999999998,292.74
expt-app-37,10,25.136,21.36,251.35999999999999,213.6
expt-app-54,10,72.362,21.171,723.6199999999999,211.70999999999998
expt-app-72,10,134.937,30.75,1349.3700000000001,307.5
expt-app-0,9,281.976,196.359,2537.784,1767.231
expt-app-68,3,550.713,471.314,1652.139,1413.942
expt-app-96,8,153.40200000000002,87.145,1227.2160000000001,697.16
expt-app-99,7,256.229,182.725,1793.6029999999998,1279.075
expt-app-76,9,120.813,68.146,1087.317,613.314
expt-app-87,8,29.693,18.219,237.544,145.752
expt-app-85,9,106.479,3.007,958.311,27.063000000000002
expt-app-58,7,407.388,341.138,2851.716,2387.966
expt-app-88,3,381.061,231.512,1143.183,694.5360000000001
expt-app-59,9,77.209,12.197,694.8810000000001,109.773
expt-app-69,5,163.635,159.666,818.175,798.3299999999999
expt-app-42,6,575.939,515.73,3455.634,3094.38
expt-app-31,5,397.067,317.773,1985.335,1588.8650000000002
expt-app-64,2,790.323,648.493,1580.646,1296.986
expt-app-45,5,577.365,498.562,2886.825,2492.81
