app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-1,5,938.801,872.582,4694.005,4362.91
expt-app-94,7,981.6859999999999,903.193,6871.802,6322.351
expt-app-55,9,164.54,55.641,1480.86,500.769
expt-app-61,10,133.935,29.261,1339.35,292.61
expt-app-5,8,487.79200000000003,478.19,3902.3360000000002,3825.52
expt-app-90,10,17.512,13.213,175.12,132.13
expt-app-27,10,153.827,142.245,1538.27,1422.45
expt-app-6,10,141.91,55.501,1419.1,555.01
expt-app-87,9,245.219,241.459,2206.971,2173.131
expt-app-28,4,757.2529999999999,683.923,3029.0119999999997,2735.692
expt-app-2,8,257.249,176.25,2057.992,1410.0
expt-app-29,2,512.462,433.214,1024.924,866.428
expt-app-17,8,277.826,211.094,2222.608,1688.752
expt-app-34,10,85.122,6.708,851.22,67.08
expt-app-3,10,40.156,36.528,401.56,365.28
expt-app-89,10,78.577,11.783,785.77,117.83
expt-app-77,6,746.401,687.393,4478.406,4124.358
expt-app-66,3,1328.229,1276.735,3984.687,3830.205
expt-app-19,9,51.069,39.973,459.62100000000004,359.757
expt-app-96,4,469.33599999999996,391.01,1877.3439999999998,1564.04
expt-app-73,6,456.978,368.47,2741.868,2210.82
expt-app-12,3,573.542,490.152,1720.6260000000002,1470.456
expt-app-41,7,243.59,176.929,1705.13,1238.503
expt-app-72,7,386.455,242.874,2705.185,1700.118
expt-app-64,6,668.427,589.723,4010.562,3538.3379999999997
expt-app-18,9,251.97599999999997,147.499,2267.7839999999997,1327.491
expt-app-39,1,812.0840000000001,744.636,812.0840000000001,744.636
expt-app-51,7,104.317,100.521,730.2189999999999,703.647
expt-app-32,7,650.722,572.526,4555.054,4007.682
expt-app-36,5,200.329,133.467,1001.645,667.335
expt-app-14,10,199.291,94.538,1992.9099999999999,945.38
expt-app-20,3,309.361,230.935,928.083,692.8050000000001
expt-app-31,4,1427.16,1292.256,5708.64,5169.024
expt-app-71,10,150.275,37.686,1502.75,376.86
expt-app-16,7,280.31899999999996,201.875,1962.2329999999997,1413.125
expt-app-22,6,518.989,384.754,3113.934,2308.5240000000003
expt-app-48,10,202.246,97.651,2022.46,976.51
expt-app-69,7,551.5020000000001,484.915,3860.5140000000006,3394.405
expt-app-47,4,1796.288,1644.242,7185.152,6576.968
expt-app-70,5,345.214,267.329,1726.07,1336.645
expt-app-26,9,246.297,233.433,2216.673,2100.897
expt-app-42,9,258.08799999999997,189.277,2322.7919999999995,1703.493
expt-app-13,9,110.076,58.911,990.684,530.1990000000001
expt-app-45,2,2269.043,2142.525,4538.086,4285.05
expt-app-57,10,26.458,21.999,264.58,219.98999999999998
expt-app-63,8,275.286,208.691,2202.288,1669.528
expt-app-40,6,598.549,531.64,3591.294,3189.84
expt-app-62,5,447.07099999999997,396.185,2235.355,1980.925
expt-app-4,8,443.34200000000004,438.822,3546.7360000000003,3510.576
expt-app-86,8,99.164,11.16,793.312,89.28
expt-app-91,2,366.185,300.313,732.37,600.626
expt-app-74,5,320.984,247.916,1604.9199999999998,1239.58
expt-app-46,7,196.08700000000002,129.269,1372.6090000000002,904.883
expt-app-49,6,1186.708,1066.139,7120.2480000000005,6396.833999999999
expt-app-0,3,488.08000000000004,409.269,1464.2400000000002,1227.807
expt-app-25,9,243.87900000000002,168.877,2194.911,1519.893
expt-app-85,8,296.51,192.18,2372.08,1537.44
expt-app-44,2,1654.124,1588.316,3308.248,3176.632
expt-app-21,3,1659.07,1523.444,4977.21,4570.332
expt-app-24,5,624.845,546.259,3124.2250000000004,2731.295
expt-app-95,10,84.71900000000001,27.007,847.19,270.07
expt-app-7,1,1389.376,1322.484,1389.376,1322.484
expt-app-68,4,1380.599,1314.275,5522.396,5257.1
expt-app-84,10,85.76899999999999,12.142,857.6899999999999,121.41999999999999
expt-app-9,4,176.142,163.757,704.568,655.028
expt-app-50,6,496.873,430.758,2981.238,2584.548
expt-app-15,9,191.17000000000002,125.038,1720.5300000000002,1125.3419999999999
expt-app-43,8,557.705,479.129,4461.64,3833.032
expt-app-37,6,499.244,363.571,2995.464,2181.4260000000004
expt-app-30,9,254.322,149.336,2288.898,1344.0240000000001
expt-app-92,8,263.113,196.813,2104.904,1574.504
expt-app-82,2,620.22,476.057,1240.44,952.114
